Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Circadian entrainment	6/97	5.948229551282472E-5	0.009398202691026305	0	0	9.80087581591341	95.36087361371537	KCNJ5;CAMK2D;NOS1AP;GNB4;PRKCA;GNG11
GABAergic synapse	5/89	3.9211463455244937E-4	0.0309770561296435	0	0	8.785092395167021	68.90988106617537	NSF;GNB4;PRKCA;GNG11;GLS
Cholinergic synapse	5/113	0.0011611505169536649	0.06115392722622635	0	0	6.824557766721946	46.122708628888894	ACHE;CAMK2D;GNB4;PRKCA;GNG11
Dopaminergic synapse	5/132	0.002304281987850957	0.0910191385201128	0	0	5.797978610882595	35.21104381972833	KCNJ5;CAMK2D;GNB4;PRKCA;GNG11
Morphine addiction	4/91	0.0037426868174829883	0.11826890343246244	0	0	6.7344401873137505	37.63172531529506	KCNJ5;GNB4;PRKCA;GNG11
Aldosterone synthesis and secretion	4/98	0.004873615495596193	0.12833854138403308	0	0	6.230732860520095	33.17191840446226	KCNJ5;CAMK2D;PRKCA;ATP1B1
Glycosaminoglycan biosynthesis	3/53	0.005971446547661588	0.13310721666796094	0	0	8.74014705882353	44.7562485767552	EXTL1;B3GNT7;B3GAT3
Serotonergic synapse	4/113	0.008022467621664637	0.13310721666796094	0	0	5.369215086646279	25.909196909764024	KCNJ5;GNB4;PRKCA;GNG11
Glutamatergic synapse	4/114	0.008270277014001268	0.13310721666796094	0	0	5.3201346801346805	25.510510102041074	GNB4;PRKCA;GNG11;GLS
Endocytosis	6/252	0.00842450738404816	0.13310721666796094	0	0	3.597102512378507	17.181956821536478	VPS29;WIPF1;CAV2;ARPC3;CAV1;HLA-G
Proximal tubule bicarbonate reclamation	2/23	0.011026787254423446	0.15838476238171859	0	0	13.792144595064302	62.16709543900468	ATP1B1;GLS
Biosynthesis of unsaturated fatty acids	2/27	0.015023854389762465	0.1865790721996265	0	0	11.583065693430656	48.62705397732546	FADS2;FADS1
Gastric acid secretion	3/76	0.015967759556551185	0.1865790721996265	0	0	5.97945205479452	24.7380910818712	CAMK2D;PRKCA;ATP1B1
Bacterial invasion of epithelial cells	3/77	0.01653232285313146	0.1865790721996265	0	0	5.898350556438792	24.197616596190752	CAV2;ARPC3;CAV1
Retrograde endocannabinoid signaling	4/148	0.019879526250077374	0.20553452305378173	0	0	4.056995884773663	15.895573210128207	KCNJ5;GNB4;PRKCA;GNG11
SNARE interactions in vesicular transport	2/33	0.021996804209648807	0.20553452305378173	0	0	9.338356486931952	35.64318159198163	BNIP1;BET1
Insulin secretion	3/86	0.022114473999457526	0.20553452305378173	0	0	5.256378454996456	20.034807129458198	CAMK2D;PRKCA;ATP1B1
Aldosterone-regulated sodium reabsorption	2/37	0.027251442580755264	0.23920710709774068	0	0	8.269447340980188	29.791914709423647	PRKCA;ATP1B1
D-Glutamine and D-glutamate metabolism	1/5	0.034273501945392366	0.28501122670378914	0	0	35.97282608695652	121.35011140082165	GLS
Focal adhesion	4/201	0.05184453700317614	0.38596371016670494	0	0	2.957548411355518	8.752881415196923	CAV2;CAV1;PRKCA;THBS3
Endocrine and other factor-regulated calcium reabsorption	2/53	0.05249292134414648	0.38596371016670494	0	0	5.6705309861170745	16.71149116353268	PRKCA;ATP1B1
Proteoglycans in cancer	4/205	0.054977877049425354	0.38596371016670494	0	0	2.8981020821816843	8.40688526305003	CAMK2D;CAV2;CAV1;PRKCA
Lysosome	3/128	0.05994310026457769	0.38596371016670494	0	0	3.482823529411765	9.801917471610919	LAPTM4B;GNS;LITAF
Human immunodeficiency virus 1 infection	4/212	0.06070290730291021	0.38596371016670494	0	0	2.7995726495726494	7.843740985345133	GNB4;PRKCA;HLA-G;GNG11
Relaxin signaling pathway	3/129	0.061070207304858376	0.38596371016670494	0	0	3.4550070028011204	9.65927065700255	GNB4;PRKCA;GNG11
Viral myocarditis	2/60	0.0653619210413584	0.3971993663282549	0	0	4.9843946639818775	13.59650870933096	CAV1;HLA-G
Human cytomegalovirus infection	4/225	0.07214019707792227	0.4127164642788662	0	0	2.6331489860901627	6.922927519865335	GNB4;PRKCA;HLA-G;GNG11
GnRH secretion	2/64	0.07313962658106489	0.4127164642788662	0	0	4.661878973392983	12.19260820741078	KCNJ5;PRKCA
Ras signaling pathway	4/232	0.07872374945267034	0.4168998613933597	0	0	2.551397011046134	6.485167449883897	EFNA1;GNB4;PRKCA;GNG11
Long-term potentiation	2/67	0.07915820153038476	0.4168998613933597	0	0	4.446041549691185	11.276525762044336	CAMK2D;PRKCA
Amphetamine addiction	2/69	0.08325382726319296	0.424325958309177	0	0	4.312888114173657	10.721241128284067	CAMK2D;PRKCA
Adrenergic signaling in cardiomyocytes	3/150	0.08694468769021368	0.42928939547043005	0	0	2.9582833133253303	7.225557104878403	CAMK2D;PRKCA;ATP1B1
Oxytocin signaling pathway	3/154	0.09232512039979272	0.43297500708796505	0	0	2.8793338527463965	6.8598373055682735	KCNJ5;CAMK2D;PRKCA
Thyroid hormone synthesis	2/75	0.09591218511442264	0.43297500708796505	0	0	3.957204279572043	9.276962018766689	PRKCA;ATP1B1
Glioma	2/75	0.09591218511442264	0.43297500708796505	0	0	3.957204279572043	9.276962018766689	CAMK2D;PRKCA
PI3K-Akt signaling pathway	5/354	0.1010754604888808	0.4436089654789769	0	0	2.0861309498353506	4.781178297499558	EFNA1;GNB4;PRKCA;GNG11;THBS3
Complement and coagulation cascades	2/85	0.11810337314071118	0.47725108684367284	0	0	3.4786738193650515	7.431125600263462	PROCR;TFPI
