Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Adrenergic signaling in cardiomyocytes	16/150	4.44E-11	7.64E-09	0	0	10.32178315	246.0461429	RYR2;KCNE1;CAMK2D;CACNA2D1;ATP2A2;PRKCA;ATP1B1;SLC8A1;CACNB2;PLN;CALM3;SCN5A;CALM1;CALM2;SCN4B;SCN1B
Oxytocin signaling pathway	12/154	4.12E-07	3.54E-05	0	0	7.175781965	105.4976257	CACNB2;RYR2;KCNJ5;CAMK2D;CACNA2D1;NPPA;PRKAG2;PRKCA;CALM3;CALM1;CALM2;KCNJ2
Apelin signaling pathway	11/137	9.36E-07	5.37E-05	0	0	7.387144226	102.5421332	RYR2;GNB4;PRKAG2;CALM3;PIK3C3;CALM1;PPARGC1A;GNG11;CALM2;MEF2D;SLC8A1
Circadian entrainment	Sep-97	2.81E-06	1.21E-04	0	0	8.596590909	109.891383	RYR2;KCNJ5;CAMK2D;GNB4;PRKCA;CALM3;CALM1;GNG11;CALM2
Arrhythmogenic right ventricular cardiomyopathy	Aug-77	4.32E-06	1.49E-04	0	0	9.713475177	119.9728361	DSP;RYR2;CACNB2;GJA1;CDH2;CACNA2D1;ATP2A2;SLC8A1
Aldosterone synthesis and secretion	Aug-98	2.60E-05	7.45E-04	0	0	7.439054374	78.54133173	KCNJ5;CAMK2D;NPPA;PRKCA;CALM3;ATP1B1;CALM1;CALM2
Gastric acid secretion	Jul-76	3.84E-05	9.44E-04	0	0	8.463276836	86.04600355	CAMK2D;PRKCA;CALM3;ATP1B1;CALM1;CALM2;KCNJ2
cAMP signaling pathway	11/216	7.06E-05	0.001517233	0	0	4.522119428	43.22657845	HCN4;RYR2;EDN1;CAMK2D;PLN;NPPA;ATP2A2;CALM3;CALM1;ATP1B1;CALM2
Cardiac muscle contraction	Jul-87	9.17E-05	0.001752647	0	0	7.295497881	67.82550134	RYR2;CACNB2;CACNA2D1;ATP2A2;ATP1B1;SLC8A1;TRDN
Hypertrophic cardiomyopathy	Jul-90	1.14E-04	0.001955681	0	0	7.030733102	63.85260066	RYR2;CACNB2;EDN1;CACNA2D1;ATP2A2;PRKAG2;SLC8A1
Calcium signaling pathway	11/240	1.79E-04	0.002624013	0	0	4.043216383	34.88454435	RYR2;CAMK2D;PLN;ATP2A2;PRKCA;CALM3;CALM1;CALM2;SLC8A1;FGFR1;TRDN
Renin secretion	Jun-69	1.91E-04	0.002624013	0	0	7.91400442	67.7583513	EDN1;NPPA;CALM3;CALM1;CALM2;KCNJ2
cGMP-PKG signaling pathway	9/167	2.11E-04	0.002624013	0	0	4.770934761	40.38533766	PLN;NPPA;ATP2A2;CALM3;ATP1B1;CALM1;CALM2;MEF2D;SLC8A1
Dopaminergic synapse	8/132	2.14E-04	0.002624013	0	0	5.38997941	45.55334468	KCNJ5;CAMK2D;GNB4;PRKCA;CALM3;CALM1;GNG11;CALM2
Melanogenesis	7/101	2.34E-04	0.002681192	0	0	6.204516769	51.87558144	EDN1;CAMK2D;MITF;PRKCA;CALM3;CALM1;CALM2
Dilated cardiomyopathy	Jun-96	0.00112717	0.011651854	0	0	5.532208158	37.55288067	RYR2;CACNB2;PLN;CACNA2D1;ATP2A2;SLC8A1
Phosphatidylinositol signaling system	Jun-97	0.001189492	0.011651854	0	0	5.471136458	36.84388553	PRKCA;CALM3;PIK3C3;IP6K1;CALM1;CALM2
Vascular smooth muscle contraction	7/133	0.00121938	0.011651854	0	0	4.621233522	31.00576271	EDN1;CALCRL;NPPA;PRKCA;CALM3;CALM1;CALM2
Long-term potentiation	May-67	0.001329435	0.012034885	0	0	6.673556519	44.19897317	CAMK2D;PRKCA;CALM3;CALM1;CALM2
Amphetamine addiction	May-69	0.001517014	0.013046322	0	0	6.464351366	41.9601772	CAMK2D;PRKCA;CALM3;CALM1;CALM2
Glucagon signaling pathway	6/107	0.001967967	0.016118584	0	0	4.9269332	30.69851084	CAMK2D;PRKAG2;CALM3;CALM1;PPARGC1A;CALM2
Glioma	May-75	0.002196804	0.017175011	0	0	5.908463385	36.16423816	CAMK2D;PRKCA;CALM3;CALM1;CALM2
Serotonergic synapse	6/113	0.002590957	0.018568529	0	0	4.649236957	27.68958973	KCNJ5;GNB4;PRKCA;KCNN2;GNG11;SLC6A4
Cholinergic synapse	6/113	0.002590957	0.018568529	0	0	4.649236957	27.68958973	ACHE;CAMK2D;GNB4;PRKCA;GNG11;KCNJ2
Insulin secretion	May-86	0.003981198	0.027390642	0	0	5.103226476	28.20130988	RYR2;CAMK2D;PRKCA;KCNN2;ATP1B1
Phototransduction	28-Mar	0.004637235	0.030677091	0	0	9.866	53.01630333	CALM3;CALM1;CALM2
Oocyte meiosis	6/129	0.004972325	0.031675549	0	0	4.041164969	21.43380489	CAMK2D;CDC23;CALM3;CALM1;CALM2;CPEB4
Salivary secretion	May-93	0.005549562	0.032914643	0	0	4.695616883	24.38920457	PRKCA;CALM3;ATP1B1;CALM1;CALM2
