Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Melanogenesis	5/101	0.0019015128240998742	0.28691419789514383	0	0	6.080498027613412	38.09496155294746	TCF7L2;EDN1;WNT11;WNT9B;RAF1
Wnt signaling pathway	6/166	0.0033557216128087	0.28691419789514383	0	0	4.3897321428571425	25.008692271672174	TLE3;TCF7L2;WNT11;WNT9B;MAP3K7;DKK1
IL-17 signaling pathway	4/94	0.009197644820977369	0.4809749740803604	0	0	5.159738562091503	24.193022547055996	TBK1;IL25;IL17D;MAP3K7
mTOR signaling pathway	5/154	0.011250876586675097	0.4809749740803604	0	0	3.907112505460466	17.53242202618501	WNT11;MAPKAP1;WNT9B;RAF1;ATP6V1C1
Hepatocellular carcinoma	5/168	0.01587826290085826	0.5002609405590407	0	0	3.5689911787127455	14.785631710108504	TCF7L2;WNT11;WNT9B;DPF3;RAF1
Basal cell carcinoma	3/63	0.017553015458211953	0.5002609405590407	0	0	5.77953216374269	23.363929400185523	TCF7L2;WNT11;WNT9B
Human papillomavirus infection	7/331	0.026063816205742475	0.5458627170125029	0	0	2.5229910549271826	9.201871339875952	TCF7L2;TBK1;WNT11;COL4A3;WNT9B;RAF1;ATP6V1C1
Arrhythmogenic right ventricular cardiomyopathy	3/77	0.029622035470836288	0.5458627170125029	0	0	4.682788051209104	16.47983981646015	TCF7L2;GJA1;CDH2
Autophagy	4/137	0.03186688300245547	0.5458627170125029	0	0	3.4839451570101727	12.006329849333284	TBK1;CFLAR;RAF1;MAP3K7
Signaling pathways regulating pluripotency of stem cells	4/143	0.03643342881341488	0.5458627170125029	0	0	3.3325433770630553	11.03827862532838	WNT11;WNT9B;RAF1;ACVR2A
Breast cancer	4/147	0.039677028767640336	0.5458627170125029	0	0	3.2386672151378035	10.451123654730686	TCF7L2;WNT11;WNT9B;RAF1
Gastric cancer	4/149	0.041358733347903	0.5458627170125029	0	0	3.1936713995943204	10.17334978043492	TCF7L2;WNT11;WNT9B;RAF1
Gap junction	3/88	0.041498335211476826	0.5458627170125029	0	0	4.074509803921568	12.96550566543428	GJA1;TUBB;RAF1
Cushing syndrome	4/155	0.046643480066422154	0.5697167922398706	0	0	3.065835605765485	9.397467128057238	USP8;TCF7L2;WNT11;WNT9B
TNF signaling pathway	3/112	0.07432842559380064	0.7694472419976882	0	0	3.173507162401416	8.248776008348578	EDN1;CFLAR;MAP3K7
Thyroid hormone signaling pathway	3/121	0.08888152344401863	0.7694472419976882	0	0	2.930121914956884	7.0922164996600126	NCOA2;RAF1;MED13L
Endometrial cancer	2/58	0.09071429992790404	0.7694472419976882	0	0	4.105066445182724	9.852324789559525	TCF7L2;RAF1
Taurine and hypotaurine metabolism	1/11	0.0916654573897091	0.7694472419976882	0	0	11.454335260115608	27.371390211455186	GGT7
Relaxin signaling pathway	3/129	0.10273682023221554	0.7694472419976882	0	0	2.742968532442217	6.2418572361960845	EDN1;COL4A3;RAF1
GnRH secretion	2/64	0.10703685302676431	0.7694472419976882	0	0	3.7066766691672917	8.282873272427157	KCNN2;RAF1
Vascular smooth muscle contraction	3/133	0.109967430815681	0.7694472419976882	0	0	2.658029689608637	5.867789367635419	EDN1;MYH11;RAF1
Acute myeloid leukemia	2/67	0.11547192581200924	0.7694472419976882	0	0	3.535062611806798	7.631238094379818	TCF7L2;RAF1
Mitophagy	2/68	0.11832051312176751	0.7694472419976882	0	0	3.481324876673714	7.43039403232467	USP8;TBK1
Fluid shear stress and atherosclerosis	3/139	0.12116825685551107	0.7694472419976882	0	0	2.5399896800825594	5.360839091868399	EDN1;MAP3K7;ACVR2A
RIG-I-like receptor signaling pathway	2/70	0.12406987511566597	0.7694472419976882	0	0	3.3785909712722297	7.050816510594947	TBK1;MAP3K7
Adherens junction	2/71	0.12696962421311817	0.7694472419976882	0	0	3.3294573643410854	6.871358748362049	TCF7L2;MAP3K7
Hepatitis C	3/157	0.15705330993208885	0.7694472419976882	0	0	2.2410571884256094	4.148577785212032	TBK1;CFLAR;RAF1
Hepatitis B	3/162	0.16755328978093342	0.7694472419976882	0	0	2.17003199823458	3.876661975270483	TBK1;RAF1;MAP3K7
Pantothenate and CoA biosynthesis	1/21	0.16772396826289726	0.7694472419976882	0	0	5.724277456647399	10.220329310135922	BCAT1
Hippo signaling pathway	3/163	0.16967777820936203	0.7694472419976882	0	0	2.156359649122807	3.825067324488261	TCF7L2;WNT11;WNT9B
Colorectal cancer	2/86	0.17212692605340238	0.7694472419976882	0	0	2.7328349944629013	4.808486389087873	TCF7L2;RAF1
Salmonella infection	4/249	0.17231920885502627	0.7694472419976882	0	0	1.8805282112845139	3.306733324878132	TCF7L2;TUBB;RAF1;MAP3K7
Proximal tubule bicarbonate reclamation	1/23	0.1821580043309876	0.7694472419976882	0	0	5.203363110877562	8.86070720390759	SLC4A4
Bile secretion	2/90	0.18458327478037875	0.7694472419976882	0	0	2.608086680761099	4.406765562172062	KCNN2;SLC4A4
Maturity onset diabetes of the young	1/26	0.20334368249673665	0.7694472419976882	0	0	4.578265895953757	7.292526150272238	NKX6-1
Prostate cancer	2/97	0.20666915628204965	0.7694472419976882	0	0	2.4150550795593637	3.8076628846441904	TCF7L2;RAF1
Collecting duct acid secretion	1/27	0.2102836044169887	0.7694472419976882	0	0	4.401956425077812	6.863962563453386	ATP6V1C1
AGE-RAGE signaling pathway in diabetic complications	2/100	0.21622165762859566	0.7694472419976882	0	0	2.340768865685809	3.5847732993930266	EDN1;COL4A3
Progesterone-mediated oocyte maturation	2/100	0.21622165762859566	0.7694472419976882	0	0	2.340768865685809	3.5847732993930266	RAF1;CPEB4
Alzheimer disease	5/369	0.21926235192145044	0.7694472419976882	0	0	1.5818648806814488	2.4004583041218717	WNT11;TUBB;WNT9B;RAF1;DKK1
Protein digestion and absorption	2/103	0.22581352418714135	0.7694472419976882	0	0	2.270895694220585	3.379196651325094	MEP1A;COL4A3
T cell receptor signaling pathway	2/104	0.22901810171675163	0.7694472419976882	0	0	2.248518011855905	3.314212638749852	RAF1;MAP3K7
Toll-like receptor signaling pathway	2/104	0.22901810171675163	0.7694472419976882	0	0	2.248518011855905	3.314212638749852	TBK1;MAP3K7
C-type lectin receptor signaling pathway	2/104	0.22901810171675163	0.7694472419976882	0	0	2.248518011855905	3.314212638749852	RAF1;IL17D
NF-kappa B signaling pathway	2/104	0.22901810171675163	0.7694472419976882	0	0	2.248518011855905	3.314212638749852	CFLAR;MAP3K7
Pathways of neurodegeneration	6/475	0.2335727133545613	0.7694472419976882	0	0	1.4740328967407859	2.1436297987087687	TBK1;WNT11;TUBB;WNT9B;RAF1;DKK1
Kaposi sarcoma-associated herpesvirus infection	3/193	0.23647283724133464	0.7694472419976882	0	0	1.813111726685134	2.6143655616044867	TCF7L2;TBK1;RAF1
Pathogenic Escherichia coli infection	3/197	0.24572544503831764	0.7694472419976882	0	0	1.775366250678242	2.4917983346878314	TUBB;MYH11;MAP3K7
Focal adhesion	3/201	0.255034933814653	0.7694472419976882	0	0	1.7391458444090022	2.3762901817207713	COL4A3;PARVA;RAF1
Serotonergic synapse	2/113	0.2579661794916574	0.7694472419976882	0	0	2.0652629373559606	2.7982800820005016	KCNN2;RAF1
Nicotinate and nicotinamide metabolism	1/35	0.26368189996680735	0.7694472419976882	0	0	3.3648418905134307	4.485374035060237	NT5C1B
Proteoglycans in cancer	3/205	0.26439394311011927	0.7694472419976882	0	0	1.704359909675178	2.2673356884336644	WNT11;WNT9B;RAF1
Thyroid cancer	1/37	0.27646066709821937	0.7694472419976882	0	0	3.1775850995504173	4.085378967174108	TCF7L2
Growth hormone synthesis, secretion and action	2/119	0.2773068109258943	0.7694472419976882	0	0	1.9587557145696681	2.5123603407889954	IGFBP3;RAF1
Neurotrophin signaling pathway	2/119	0.2773068109258943	0.7694472419976882	0	0	1.9587557145696681	2.5123603407889954	KIDINS220;RAF1
Human immunodeficiency virus 1 infection	3/212	0.28086987553254	0.7694472419976882	0	0	1.6466884915638378	2.091070094277471	TBK1;RAF1;MAP3K7
Lipid and atherosclerosis	3/215	0.28796145455691674	0.7694472419976882	0	0	1.6231380337636545	2.0206910348837077	TBK1;SOD2;MAP3K7
Bladder cancer	1/41	0.3013604173638908	0.7694472419976882	0	0	2.859248554913295	3.4295209061462395	RAF1
Purine metabolism	2/129	0.30945406438158773	0.7694472419976882	0	0	1.8036073979124703	2.115533391578695	NT5C1B;AMPD3
FoxO signaling pathway	2/131	0.31585495151582393	0.7694472419976882	0	0	1.775464214890932	2.046173123062374	RAF1;SOD2
Pathways in cancer	6/531	0.31642685420750605	0.7694472419976882	0	0	1.3129931972789115	1.510812917794976	TCF7L2;EDN1;WNT11;COL4A3;WNT9B;RAF1
Yersinia infection	2/137	0.3349727011753338	0.7694472419976882	0	0	1.6960378983634798	1.8549672318793515	TBK1;MAP3K7
Estrogen signaling pathway	2/137	0.3349727011753338	0.7694472419976882	0	0	1.6960378983634798	1.8549672318793515	NCOA2;RAF1
Measles	2/139	0.34131229664958773	0.7694472419976882	0	0	1.671108470548294	1.7963704080281824	TBK1;MAP3K7
Amino sugar and nucleotide sugar metabolism	1/48	0.3429019983946348	0.7694472419976882	0	0	2.4325421227401303	2.60357559850068	GNPNAT1
Valine, leucine and isoleucine degradation	1/48	0.3429019983946348	0.7694472419976882	0	0	2.4325421227401303	2.60357559850068	BCAT1
Apoptosis	2/142	0.35078622470710935	0.7694472419976882	0	0	1.6350498338870432	1.7128427049260053	CFLAR;RAF1
Arginine and proline metabolism	1/50	0.3543133002736421	0.7694472419976882	0	0	2.333018756635602	2.4206789693623425	ALDH18A1
Vibrio cholerae infection	1/50	0.3543133002736421	0.7694472419976882	0	0	2.333018756635602	2.4206789693623425	ATP6V1C1
Cholesterol metabolism	1/50	0.3543133002736421	0.7694472419976882	0	0	2.333018756635602	2.4206789693623425	NPC1
Cysteine and methionine metabolism	1/50	0.3543133002736421	0.7694472419976882	0	0	2.333018756635602	2.4206789693623425	BCAT1
N-Glycan biosynthesis	1/50	0.3543133002736421	0.7694472419976882	0	0	2.333018756635602	2.4206789693623425	ALG10B
Cell adhesion molecules	2/148	0.3695913668295304	0.7694472419976882	0	0	1.5673781459063396	1.5601012756777661	CDH2;NRXN3
Phagosome	2/152	0.3820101992614593	0.7694472419976882	0	0	1.5252713178294575	1.4677807472293478	TUBB;ATP6V1C1
Pyrimidine metabolism	1/56	0.38737836839620887	0.7694472419976882	0	0	2.0778770362585393	1.9705616845278418	NT5C1B
Glutathione metabolism	1/57	0.39272313219058846	0.7694472419976882	0	0	2.0406688687035506	1.9073120022179917	GGT7
Cellular senescence	2/156	0.3943250465022858	0.7694472419976882	0	0	1.4853518574448807	1.3822383136415406	IGFBP3;RAF1
