Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Melanoma	4/72	0.0035944169845619624	0.34292673226544457	0	0	6.836678200692042	38.479378241442575	CDKN1A;E2F1;MITF;FGFR1
Arrhythmogenic right ventricular cardiomyopathy	4/77	0.004572356430205928	0.34292673226544457	0	0	6.366800966962128	34.30258277842423	DSP;GJA1;CDH2;SLC8A1
Signaling pathways regulating pluripotency of stem cells	5/143	0.008335277912761332	0.38413744795051513	0	0	4.220907297830375	20.206574003572094	ID2;HAND1;ACVR2A;TBX3;FGFR1
Prostate cancer	4/97	0.010243665278680404	0.38413744795051513	0	0	4.992536369386464	22.871287323467445	CREBBP;CDKN1A;E2F1;FGFR1
HIF-1 signaling pathway	4/109	0.015187140350627983	0.4556142105188395	0	0	4.419271708683473	18.504843996629166	CREBBP;CDKN1A;EDN1;NPPA
Adherens junction	3/71	0.02402859810464502	0.5061497021449969	0	0	5.097523219814241	19.00616920751781	CREBBP;SORBS1;FGFR1
p53 signaling pathway	3/73	0.025823029538262366	0.5061497021449969	0	0	4.951378446115288	18.104658681283354	CDKN1A;CASP8;IGFBP3
Kaposi sarcoma-associated herpesvirus infection	5/193	0.026994650781066498	0.5061497021449969	0	0	3.0904570061689536	11.1630909046888	CREBBP;CDKN1A;CASP8;E2F1;PIK3C3
Hypertrophic cardiomyopathy	3/90	0.04387916148437294	0.6251435643824572	0	0	3.980439604759024	12.444111040411421	EDN1;SLC8A1;MYH6
TGF-beta signaling pathway	3/94	0.0488407810743851	0.6251435643824572	0	0	3.804704067861963	11.487123094885487	CREBBP;ID2;ACVR2A
Bladder cancer	2/41	0.04946076084945932	0.6251435643824572	0	0	5.899522957662493	17.73736197602507	CDKN1A;E2F1
Hepatitis B	4/162	0.05326210857242798	0.6251435643824572	0	0	2.9289650037230084	8.589278062241606	CREBBP;CDKN1A;CASP8;E2F1
Melanogenesis	3/101	0.058151513319832406	0.6251435643824572	0	0	3.531686358754028	10.046600107506606	CREBBP;EDN1;MITF
Parathyroid hormone synthesis, secretion and action	3/106	0.06527659954981196	0.6251435643824572	0	0	3.3593936297053313	9.168193919001311	CDKN1A;BGLAP;FGFR1
Tuberculosis	4/180	0.07248896077135715	0.6251435643824572	0	0	2.627005347593583	6.894105284876429	CREBBP;CIITA;CASP8;PIK3C3
Transcriptional misregulation in cancer	4/192	0.08701807494074264	0.6251435643824572	0	0	2.4578222778473093	6.001115770695566	CDKN1A;IGFBP3;ID2;MITF
Thyroid hormone signaling pathway	3/121	0.08888152344401863	0.6251435643824572	0	0	2.930121914956884	7.0922164996600126	NCOA2;CREBBP;MYH6
Notch signaling pathway	2/59	0.09338023468898816	0.6251435643824572	0	0	4.032843737250102	9.562177287921063	TLE3;CREBBP
Cell cycle	3/124	0.0939796574881784	0.6251435643824572	0	0	2.857039292445991	6.755974902471492	CREBBP;CDKN1A;E2F1
Viral myocarditis	2/60	0.09606874260426201	0.6251435643824572	0	0	3.963111467522053	9.28434665671665	CASP8;MYH6
FoxO signaling pathway	3/131	0.10632775304418685	0.6251435643824572	0	0	2.6998355263157894	6.050949529535229	CREBBP;CDKN1A;SOD2
Apelin signaling pathway	3/137	0.11738875691146503	0.6251435643824572	0	0	2.5781618224666145	5.523103628509171	PIK3C3;PPARGC1A;SLC8A1
Insulin signaling pathway	3/137	0.11738875691146503	0.6251435643824572	0	0	2.5781618224666145	5.523103628509171	SREBF1;SORBS1;PPARGC1A
Mitophagy	2/68	0.11832051312176751	0.6251435643824572	0	0	3.481324876673714	7.43039403232467	E2F1;MITF
Renal cell carcinoma	2/69	0.12118666841614661	0.6251435643824572	0	0	3.42919125303714	7.237044804954796	CDKN1A;CREBBP
Renin secretion	2/69	0.12118666841614661	0.6251435643824572	0	0	3.42919125303714	7.237044804954796	EDN1;NPPA
Huntington disease	5/306	0.12913966556528775	0.6251435643824572	0	0	1.9191452554601034	3.9282231573911557	CREBBP;CASP8;PIK3C3;SOD2;PPARGC1A
Non-small cell lung cancer	2/72	0.12988541415193172	0.6251435643824572	0	0	3.2817275747508305	6.698342838948271	CDKN1A;E2F1
MicroRNAs in cancer	5/310	0.13426793779821375	0.6251435643824572	0	0	1.8935881268794257	3.802169570240208	CREBBP;CDKN1A;STMN1;E2F1;RECK
Breast cancer	3/147	0.1367198872981301	0.6251435643824572	0	0	2.3979044834307994	4.771400851792669	CDKN1A;E2F1;FGFR1
Cell adhesion molecules	3/148	0.13871037787917606	0.6251435643824572	0	0	2.3812462189957655	4.703835514136267	CDH2;NRXN3;CD34
Glioma	2/75	0.13872412373975015	0.6251435643824572	0	0	3.1463841987894234	6.214952147282103	CDKN1A;E2F1
Chronic myeloid leukemia	2/76	0.1416992079266903	0.6251435643824572	0	0	3.103708359522313	6.064797353669579	CDKN1A;E2F1
Pancreatic cancer	2/76	0.1416992079266903	0.6251435643824572	0	0	3.103708359522313	6.064797353669579	CDKN1A;E2F1
Cellular senescence	3/156	0.15497875233290428	0.6359226381478472	0	0	2.255819286779039	4.205901189297352	CDKN1A;IGFBP3;E2F1
Hepatitis C	3/157	0.15705330993208885	0.6359226381478472	0	0	2.2410571884256094	4.148577785212032	CDKN1A;CASP8;E2F1
Cardiac muscle contraction	2/87	0.17522795673843025	0.6359226381478472	0	0	2.700547195622435	4.703455398374708	SLC8A1;MYH6
Wnt signaling pathway	3/166	0.176097808026349	0.6359226381478472	0	0	2.1163491550963296	3.675496827365201	TLE3;CREBBP;CTNNBIP1
cGMP-PKG signaling pathway	3/167	0.17825289378747747	0.6359226381478472	0	0	2.1033376123234917	3.627315055273013	NPPA;SLC8A1;MYH6
Pathways in cancer	7/531	0.18126763213953678	0.6359226381478472	0	0	1.54401883256388	2.6368455769079366	CREBBP;CDKN1A;EDN1;CASP8;E2F1;MITF;FGFR1
Proximal tubule bicarbonate reclamation	1/23	0.1821580043309876	0.6359226381478472	0	0	5.203363110877562	8.86070720390759	SLC4A4
Bile secretion	2/90	0.18458327478037875	0.6359226381478472	0	0	2.608086680761099	4.406765562172062	KCNN2;SLC4A4
Influenza A	3/172	0.18913541404420445	0.6359226381478472	0	0	2.040589639779923	3.398177692285818	CREBBP;CIITA;CASP8
Small cell lung cancer	2/92	0.19085987421619519	0.6359226381478472	0	0	2.5498708010335918	4.223136214362436	CDKN1A;E2F1
IL-17 signaling pathway	2/94	0.1971648120711496	0.6359226381478472	0	0	2.494186046511628	4.049848021094101	USP25;CASP8
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	1/26	0.20334368249673665	0.6359226381478472	0	0	4.578265895953757	7.292526150272238	PIGC
Maturity onset diabetes of the young	1/26	0.20334368249673665	0.6359226381478472	0	0	4.578265895953757	7.292526150272238	NKX6-1
Dilated cardiomyopathy	2/96	0.2034952442073111	0.6359226381478472	0	0	2.4408708560118755	3.8861413531092848	SLC8A1;MYH6
Longevity regulating pathway	2/102	0.22261238677367096	0.6525395000910464	0	0	2.293720930232558	3.445910158192597	SOD2;PPARGC1A
Pentose phosphate pathway	1/30	0.23074476795617313	0.6525395000910464	0	0	3.9459836555710583	5.786560425251395	TKT
Glucagon signaling pathway	2/107	0.23864949862511786	0.6525395000910464	0	0	2.183942414174972	3.1290638840951233	CREBBP;PPARGC1A
Insulin resistance	2/108	0.24186488445916798	0.6525395000910464	0	0	2.1632294866169373	3.07043609676624	SREBF1;PPARGC1A
SNARE interactions in vesicular transport	1/33	0.2506787605645003	0.6525395000910464	0	0	3.5755057803468207	4.9470090066933246	GOSR2
TNF signaling pathway	2/112	0.25474356949262794	0.6525395000910464	0	0	2.0841437632135307	2.8500621144962324	EDN1;CASP8
Toxoplasmosis	2/112	0.25474356949262794	0.6525395000910464	0	0	2.0841437632135307	2.8500621144962324	CIITA;CASP8
Epstein-Barr virus infection	3/202	0.25737032717190184	0.6525395000910464	0	0	1.730318257956449	2.3484558884619355	CDKN1A;CASP8;E2F1
Serotonergic synapse	2/113	0.2579661794916574	0.6525395000910464	0	0	2.0652629373559606	2.7982800820005016	KCNN2;SLC6A4
Viral carcinogenesis	3/203	0.25970870146149966	0.6525395000910464	0	0	1.721578947368421	2.3210235350965713	CREBBP;CDKN1A;CASP8
Nicotinate and nicotinamide metabolism	1/35	0.26368189996680735	0.6525395000910464	0	0	3.3648418905134307	4.485374035060237	NT5C1B
African trypanosomiasis	1/37	0.27646066709821937	0.6525395000910464	0	0	3.1775850995504173	4.085378967174108	NPPA
Aldosterone-regulated sodium reabsorption	1/37	0.27646066709821937	0.6525395000910464	0	0	3.1775850995504173	4.085378967174108	NR3C2
Thyroid cancer	1/37	0.27646066709821937	0.6525395000910464	0	0	3.1775850995504173	4.085378967174108	CDKN1A
Growth hormone synthesis, secretion and action	2/119	0.2773068109258943	0.6525395000910464	0	0	1.9587557145696681	2.5123603407889954	CREBBP;IGFBP3
AMPK signaling pathway	2/120	0.28052880883450193	0.6525395000910464	0	0	1.9420575482853764	2.4685082828783185	SREBF1;PPARGC1A
Primary immunodeficiency	1/38	0.28276711670612015	0.6525395000910464	0	0	3.0915481955944384	3.9050323092993637	CIITA
cAMP signaling pathway	3/216	0.2903286018687588	0.6598377315199064	0	0	1.6154353018696976	1.9978765045200282	CREBBP;EDN1;NPPA
Human T-cell leukemia virus 1 infection	3/219	0.29743846531832857	0.6659070119067056	0	0	1.5927550357374918	1.9312917971425587	CREBBP;CDKN1A;E2F1
Purine metabolism	2/129	0.30945406438158773	0.6775805342296842	0	0	1.8036073979124703	2.115533391578695	NT5C1B;AMPD3
Human cytomegalovirus infection	3/225	0.31168704574565476	0.6775805342296842	0	0	1.5492334439702862	1.8060276452489754	CDKN1A;CASP8;E2F1
Vascular smooth muscle contraction	2/133	0.32224265010969405	0.6840321357161306	0	0	1.7481803657021127	1.9797276338857674	EDN1;NPPA
Human papillomavirus infection	4/331	0.32546988383830666	0.6840321357161306	0	0	1.4030581039755352	1.574912159032004	CREBBP;CDKN1A;CASP8;E2F1
Thermogenesis	3/232	0.3283354251437427	0.6840321357161306	0	0	1.5013406879644526	1.6720724836572602	NPPA;PPARGC1A;FGFR1
Fluid shear stress and atherosclerosis	2/139	0.34131229664958773	0.7013266369512078	0	0	1.671108470548294	1.7963704080281824	EDN1;ACVR2A
N-Glycan biosynthesis	1/50	0.3543133002736421	0.709740600344437	0	0	2.333018756635602	2.4206789693623425	ALG10B
Endocrine and other factor-regulated calcium reabsorption	1/53	0.3710618397239662	0.709740600344437	0	0	2.1980880391285016	2.1791549097350225	SLC8A1
Gastric cancer	2/149	0.37270538814318754	0.709740600344437	0	0	1.5566366081316247	1.5363489874230396	CDKN1A;E2F1
Adrenergic signaling in cardiomyocytes	2/150	0.37581328621323506	0.709740600344437	0	0	1.5460402262727844	1.5130521157361128	SLC8A1;MYH6
Regulation of lipolysis in adipocytes	1/55	0.3819868368241707	0.709740600344437	0	0	2.1164632840933417	2.0368189284263143	NPPA
Pyrimidine metabolism	1/56	0.38737836839620887	0.709740600344437	0	0	2.0778770362585393	1.9705616845278418	NT5C1B
Oxytocin signaling pathway	2/154	0.3881811055467625	0.709740600344437	0	0	1.5050489596083232	1.4242026681470594	CDKN1A;NPPA
Cushing syndrome	2/155	0.3912565049960906	0.709740600344437	0	0	1.4951360389116888	1.403023564875776	CDKN1A;E2F1
Non-alcoholic fatty liver disease	2/155	0.3912565049960906	0.709740600344437	0	0	1.4951360389116888	1.403023564875776	SREBF1;CASP8
Legionellosis	1/57	0.39272313219058846	0.709740600344437	0	0	2.0406688687035506	1.9073120022179917	CASP8
Endometrial cancer	1/58	0.39802153164960413	0.7107527350885788	0	0	2.004766250887334	1.8468892557781884	CDKN1A
Mineral absorption	1/60	0.40848083362688503	0.7196269067564258	0	0	1.9366121289311258	1.7338687564851867	SLC8A1
JAK-STAT signaling pathway	2/162	0.4125860932070175	0.7196269067564258	0	0	1.4292151162790698	1.265298983668287	CREBBP;CDKN1A
Basal cell carcinoma	1/63	0.4238319403011306	0.7256860360358872	0	0	1.8426253962334513	1.5817433040428577	CDKN1A
GnRH secretion	1/64	0.4288604323247804	0.7256860360358872	0	0	1.8132856225341774	1.535170665524538	KCNN2
Hepatocellular carcinoma	2/168	0.4305737147146264	0.7256860360358872	0	0	1.3771364527878958	1.1604257701606255	CDKN1A;E2F1
Aminoacyl-tRNA biosynthesis	1/66	0.43878688447567743	0.7310554639418194	0	0	1.7573143619386393	1.4475726640104076	FARS2
