Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Adrenergic signaling in cardiomyocytes	18/150	3.40E-13	6.77E-11	0	0	11.89393939	341.4639108	RYR2;KCNE1;CAMK2D;CACNA2D1;ATP2A2;PRKCA;CACNA1C;ATP1B1;SLC8A1;CACNB2;KCNQ1;CALM3;SCN5A;CALM1;CALM2;SCN4B;SCN1B;MYH6
Oxytocin signaling pathway	14/154	6.13E-09	6.09E-07	0	0	8.566375546	161.997291	RYR2;KCNJ5;CDKN1A;CAMK2D;CACNA2D1;PRKAG2;PRKCA;CACNA1C;CACNB2;NPPA;CALM3;CALM1;CALM2;KCNJ2
Cardiac muscle contraction	Oct-87	1.03E-07	6.82E-06	0	0	10.96928822	176.5074784	RYR2;CACNB2;CACNA2D1;CASQ2;ATP2A2;CACNA1C;ATP1B1;SLC8A1;MYH6;TRDN
Hypertrophic cardiomyopathy	Oct-90	1.42E-07	7.08E-06	0	0	10.55633047	166.4236107	RYR2;CACNB2;EDN1;CACNA2D1;ATP2A2;PRKAG2;CACNA1C;SLC8A1;MYH6;TTN
Arrhythmogenic right ventricular cardiomyopathy	Sep-77	3.91E-07	1.56E-05	0	0	11.13631222	164.3043414	DSP;RYR2;CACNB2;GJA1;CDH2;CACNA2D1;ATP2A2;CACNA1C;SLC8A1
Circadian entrainment	Sep-97	2.81E-06	8.70E-05	0	0	8.596590909	109.891383	RYR2;KCNJ5;CAMK2D;GNB4;PRKCA;CALM3;CACNA1C;CALM1;CALM2
Aldosterone synthesis and secretion	Sep-98	3.06E-06	8.70E-05	0	0	8.499567848	107.9217929	KCNJ5;CAMK2D;NPPA;PRKCA;CALM3;CACNA1C;ATP1B1;CALM1;CALM2
Gastric acid secretion	Aug-76	3.92E-06	9.74E-05	0	0	9.856821026	122.7217657	CAMK2D;KCNQ1;PRKCA;CALM3;ATP1B1;CALM1;CALM2;KCNJ2
Apelin signaling pathway	10/137	6.93E-06	1.53E-04	0	0	6.633773783	78.8043912	EGR1;RYR2;GNB4;PRKAG2;CALM3;PIK3C3;CALM1;PPARGC1A;CALM2;SLC8A1
cAMP signaling pathway	12/216	1.40E-05	2.79E-04	0	0	4.97911892	55.64288945	HCN4;RYR2;CREBBP;EDN1;CAMK2D;NPPA;ATP2A2;CALM3;CACNA1C;CALM1;ATP1B1;CALM2
Long-term potentiation	Jul-67	1.68E-05	3.03E-04	0	0	9.737217514	107.0721274	CAMK2D;CREBBP;PRKCA;CALM3;CACNA1C;CALM1;CALM2
Renin secretion	Jul-69	2.04E-05	3.38E-04	0	0	9.422156916	101.7702573	EDN1;NPPA;CALM3;CACNA1C;CALM1;CALM2;KCNJ2
Dilated cardiomyopathy	Aug-96	2.24E-05	3.42E-04	0	0	7.608897485	81.47899319	RYR2;CACNB2;CACNA2D1;ATP2A2;CACNA1C;SLC8A1;MYH6;TTN
Melanogenesis	8/101	3.23E-05	4.60E-04	0	0	7.197986731	74.42022106	CREBBP;EDN1;CAMK2D;MITF;PRKCA;CALM3;CALM1;CALM2
Glioma	Jul-75	3.52E-05	4.68E-04	0	0	8.588172981	88.05732058	CDKN1A;CAMK2D;E2F1;PRKCA;CALM3;CALM1;CALM2
Calcium signaling pathway	12/240	3.97E-05	4.93E-04	0	0	4.449532923	45.09615666	RYR2;CAMK2D;CASQ2;ATP2A2;PRKCA;CALM3;CACNA1C;CALM1;CALM2;SLC8A1;FGFR1;TRDN
GnRH signaling pathway	Jul-93	1.40E-04	0.001636508	0	0	6.784440284	60.2138218	EGR1;CAMK2D;PRKCA;CALM3;CACNA1C;CALM1;CALM2
Amphetamine addiction	Jun-69	1.91E-04	0.002114587	0	0	7.91400442	67.7583513	CAMK2D;PRKCA;CALM3;CACNA1C;CALM1;CALM2
cGMP-PKG signaling pathway	9/167	2.11E-04	0.002125145	0	0	4.770934761	40.38533766	NPPA;ATP2A2;CALM3;CACNA1C;ATP1B1;CALM1;CALM2;SLC8A1;MYH6
