gene_name	gene_eMAGMA
SAP25	eMAGMA
CDH11	eMAGMA
ARPC3	eMAGMA
SPEGNB	eMAGMA
RBM6	eMAGMA
CNKSR1	eMAGMA
BET1	eMAGMA
SPEG	eMAGMA
DDX17	eMAGMA
PROCR	eMAGMA
CCT6B	eMAGMA
KLF12	eMAGMA
GPN1	eMAGMA
CMTM5	eMAGMA
RFFL	eMAGMA
C19orf47	eMAGMA
VSTM2L	eMAGMA
TMEM182	eMAGMA
MIX23	eMAGMA
PM20D1	eMAGMA
WDSUB1	eMAGMA
PSORS1C1	eMAGMA
EEF1G	eMAGMA
EFNA1	eMAGMA
ZNF367	eMAGMA
DYNLT5	eMAGMA
EXTL1	eMAGMA
FAT1	eMAGMA
TDRD6	eMAGMA
PDZRN3	eMAGMA
LRCH1	eMAGMA
NBEAL2	eMAGMA
FLRT2	eMAGMA
ZDHHC20	eMAGMA
SLC41A1	eMAGMA
EML3	eMAGMA
PTPN23	eMAGMA
TPGS2	eMAGMA
AOC1	eMAGMA
SPATS2L	eMAGMA
TCTN3	eMAGMA
TRPC4AP	eMAGMA
B3GAT3	eMAGMA
GLS	eMAGMA
AMT	eMAGMA
GNG11	eMAGMA
GNS	eMAGMA
KANSL1	eMAGMA
SYPL2	eMAGMA
N6AMT1	eMAGMA
GSS	eMAGMA
NME7	eMAGMA
GMPPB	eMAGMA
NRBP1	eMAGMA
PILRB	eMAGMA
PILRA	eMAGMA
HLF	eMAGMA
HLA-G	eMAGMA
IHO1	eMAGMA
ZNF391	eMAGMA
KCNJ5	eMAGMA
KPNA1	eMAGMA
YPEL2	eMAGMA
LIG3	eMAGMA
FADS1	eMAGMA
C1orf226	eMAGMA
MAPT	eMAGMA
MAP3K10	eMAGMA
ACHE	eMAGMA
MYH11	eMAGMA
LRRC37A2	eMAGMA
ATP1B1	eMAGMA
NSF	eMAGMA
PBX3	eMAGMA
REEP2	eMAGMA
ARL17B	eMAGMA
ARL17A	eMAGMA
SRRT	eMAGMA
PPIL1	eMAGMA
VPS29	eMAGMA
PITX3	eMAGMA
PLEC	eMAGMA
CCHCR1	eMAGMA
WDR5B	eMAGMA
P4HTM	eMAGMA
ALKBH5	eMAGMA
UQCC1	eMAGMA
LAPTM4B	eMAGMA
EDEM2	eMAGMA
ZNF839	eMAGMA
PRKCA	eMAGMA
MTFR1L	eMAGMA
VARS2	eMAGMA
CPNE5	eMAGMA
CCDC181	eMAGMA
GNB4	eMAGMA
SCN10A	eMAGMA
RNF123	eMAGMA
XPO4	eMAGMA
GIGYF1	eMAGMA
FAM227A	eMAGMA
NUCKS1	eMAGMA
NDRG4	eMAGMA
BNIP1	eMAGMA
STRN	eMAGMA
TCEA3	eMAGMA
TFPI	eMAGMA
THBS3	eMAGMA
TRIP6	eMAGMA
MPPED2	eMAGMA
WIPF1	eMAGMA
TMEM258	eMAGMA
ZSCAN26	eMAGMA
SLC30A2	eMAGMA
CUEDC2	eMAGMA
LBHD1	eMAGMA
UQCC3	eMAGMA
GAL3ST4	eMAGMA
SETD6	eMAGMA
CPEB4	eMAGMA
ZSCAN16	eMAGMA
TSC22D4	eMAGMA
CAMK2D	eMAGMA
SGIP1	eMAGMA
CASQ2	eMAGMA
SPPL2A	eMAGMA
PPFIA2	eMAGMA
TANC1	eMAGMA
CAV1	eMAGMA
CAV2	eMAGMA
CPNE1	eMAGMA
RAB29	eMAGMA
B3GNT7	eMAGMA
FADS2	eMAGMA
SLC25A27	eMAGMA
LITAF	eMAGMA
NOS1AP	eMAGMA
SNX17	eMAGMA
EXOG	eMAGMA
