gene_name	Syndrome	Syndrome Subtype
KCNH2	SQT	SQT1
KCNQ1	SQT	SQT2
KCNJ2	SQT	SQT3
CACNA2D1	SQT	SQT6
SLC4A3	SQT	SQTS
SCN10A	SQT	SQTS
KCNQ1	LQTS	LQT1
KCNH2	LQTS	LQT2
SCN5A	LQTS	LQT3
CACNA1C	LQTS	LQT8
CALM1	LQTS	LQT14
CALM2	LQTS	LQT15
CALM3	LQTS	LQT16
TRDN	LQTS	LQT17
KCNQ1	JLN	JLNS1
KCNE1	JLN	JLNS23
SCN5A	SSS	SSS1
HCN4	SSS	SSS2
RYR2	CPVT	CPVT
CASQ2	CPVT	CPVT
TECRL	CPVT	CPVT
CALM1	CPVT	CPVT
TRDN	CPVT	CPVT
SCN5A	BRGDA	BRGDA1
GPD1L	BRGDA	BRGDA2
CACNA1C	BRGDA	BRGDA3
CACNB2	BRGDA	BRGDA4
SCN1B	BRGDA	BRGDA5
KCNE3	BRGDA	BRGDA6
SCN3B	BRGDA	BRGDA7
HCN4	BRGDA	BRGDA8
KCND3	BRGDA	BRGDA9
PRKAG2	WPW	
AKAP9	LQTS	LQT11
CACNA1C	LQTS	LQT8
CAV3	LQTS	LQT9
KCNE2	LQTS	LQT6
KCNJ5	LQTS	LQT13
SCN4B	LQTS	LQT10
SNTA1	LQTS	LQT12
ANK2	LQTS	LQT4
KCNJ2	LQTS	LQT7
KCNE1	LQT	LQT5
