VERTEX	DEGFAC	DEGFAC_REV
ATP1B1	0	0.22941573387056174
ATP2A2	0	0.22941573387056174
BEST1	0	0.22941573387056174
BPI	0	0.22941573387056174
CAV1	0	0.22941573387056174
CDH2	0	0.22941573387056174
CDKN1A	0	0.917662935482247
CREBBP	0.22941573387056174	0
IGFBP3	0	0.22941573387056174
MET	0	0.22941573387056174
MITF	0.6882472016116852	0
MYH6	0	0.22941573387056174
NFKB2	0.22941573387056174	0
NKX2-5	0.4588314677411235	0
NOS3	0	0.22941573387056174
NPPA	0	0.22941573387056174
NPPB	0	0.22941573387056174
NR3C2	0.22941573387056174	0
PPARGC1A	0	0.22941573387056174
SELP	0	0.22941573387056174
SP3	1.3764944032233704	0
SREBF1	0.22941573387056174	0
TBX3	0.22941573387056174	0
TBX5	0.4588314677411235	0.22941573387056174
TFAP4	0.22941573387056174	0
