VERTEX	DEGFAC
ABCB8	0.019167079295731936
ABHD10	0.03833415859146387
ACAA1	0.019167079295731936
ACHE	0.019167079295731936
ACTL6A	0.15333663436585548
ACVR2A	0.07666831718292774
ACVR2B	0.03833415859146387
ADAM15	0.07666831718292774
ADCK1	0.07666831718292774
ADM	0.03833415859146387
AGAP3	0.019167079295731936
AGTRAP	0.09583539647865968
AKAP9	0.15333663436585548
AKT2	0.05750123788719581
ALDH18A1	0.15333663436585548
ALG10B	0.03833415859146387
AMPD3	0.05750123788719581
ANAPC7	0.13416955507012354
ANK2	0.13416955507012354
ANKRD13A	0.05750123788719581
ANO3	0.019167079295731936
AP4M1	0.019167079295731936
APEH	0.03833415859146387
APOC1	0.03833415859146387
APOC2	0.05750123788719581
APOC4	0.03833415859146387
APOE	0.21083787225305128
APOH	0.019167079295731936
ARHGAP24	0.019167079295731936
ARHGEF16	0.03833415859146387
ARHGEF40	0.07666831718292774
ASIC4	0.09583539647865968
ATP1B1	0.28750618943597905
ATP2A2	0.28750618943597905
ATP5F1B	0.5750123788719581
ATP6V1C1	0.05750123788719581
BAZ2A	0.03833415859146387
BAZ2B	0.019167079295731936
BCAM	0.019167079295731936
BCAT1	0.019167079295731936
BCL11A	0.019167079295731936
BCL2L2	0.11500247577439161
BET1	0.2683391101402471
BLZF1	0.07666831718292774
BMP2	0.03833415859146387
BNIP1	0.019167079295731936
BRD8	0.019167079295731936
BSCL2	0.09583539647865968
C11orf98	0.019167079295731936
C19orf47	0.019167079295731936
C1orf112	0.019167079295731936
CACNA1C	0.38334158591463874
CACNA1D	0.07666831718292774
CACNA2D1	0.09583539647865968
CACNB2	0.07666831718292774
CADPS	0.019167079295731936
CAGE1	0.019167079295731936
CALCRL	0.019167079295731936
CALM1	0.6900148546463497
CALM2	0.47917698239329837
CALM3	0.46000990309756645
CAMK2D	0.17250371366158743
CAND2	0.09583539647865968
CAPZA2	0.24917203084451517
CASP7	0.17250371366158743
CASQ2	0.11500247577439161
CASR	0.019167079295731936
CAV1	0.36417450661890677
CAV3	0.7091819339420816
CAVIN2	0.07666831718292774
CBX6	0.05750123788719581
CBY1	0.13416955507012354
CCDC141	0.019167079295731936
CCDC59	0.03833415859146387
CCNA1	0.09583539647865968
CCNL1	0.8241844097164732
CCT6B	0.07666831718292774
CD34	0.019167079295731936
CD46	0.019167079295731936
CD81	0.42167574450610257
CDC23	0.15333663436585548
CDC25C	0.11500247577439161
CDH11	0.03833415859146387
CDH2	0.17250371366158743
CDH6	0.019167079295731936
CDH9	0.03833415859146387
CDK5	0.05750123788719581
CDKN1A	0.30667326873171097
CDKN2C	0.03833415859146387
CELSR2	0.019167079295731936
CFLAR	0.05750123788719581
CHD5	0.05750123788719581
CHMP4B	0.5750123788719581
CHRM2	0.03833415859146387
CHRNA1	0.03833415859146387
CLASRP	0.03833415859146387
CLK2	0.15333663436585548
CLPTM1	0.05750123788719581
CLSTN1	0.07666831718292774
CMTM5	0.19167079295731937
CNKSR1	0.019167079295731936
CNOT1	0.17250371366158743
CNPY4	0.019167079295731936
COL4A3	0.03833415859146387
COL4A4	0.03833415859146387
COPS6	0.21083787225305128
CPEB4	0.11500247577439161
CPNE5	0.019167079295731936
CREBBP	0.46000990309756645
CSKMT	0.019167079295731936
CSTA	0.13416955507012354
CTNNBIP1	0.019167079295731936
DAGLA	0.019167079295731936
DBX1	0.019167079295731936
DCP1A	0.19167079295731937
DCP1B	0.07666831718292774
DCTD	0.019167079295731936
DDR1	0.09583539647865968
DDX17	0.40250866521037065
DES	0.17250371366158743
DNAL4	0.019167079295731936
DNPEP	0.03833415859146387
DPF3	0.019167079295731936
DPM3	0.019167079295731936
DSP	0.34500742732317485
DTWD2	0.03833415859146387
DYSF	0.07666831718292774
E2F2	0.019167079295731936
EDN1	0.03833415859146387
EED	1.207525995631112
EEF1AKMT1	0.019167079295731936
EEF1G	0.5175111409847623
EFNA1	0.03833415859146387
EFS	0.019167079295731936
EIF2S2	0.13416955507012354
ELK4	0.03833415859146387
ELP6	0.03833415859146387
EPHB4	0.03833415859146387
EPPK1	0.19167079295731937
ESD	0.03833415859146387
EXOG	0.05750123788719581
F5	0.019167079295731936
FAAP20	0.03833415859146387
FADS2	0.03833415859146387
FAM162A	0.019167079295731936
FAM189B	0.07666831718292774
FAM53C	0.07666831718292774
FARS2	0.09583539647865968
FASTK	0.019167079295731936
FAT1	0.019167079295731936
FBXO24	0.019167079295731936
FEN1	0.09583539647865968
FER	0.03833415859146387
FERMT2	0.11500247577439161
FEZ2	0.019167079295731936
FGFR1	0.30667326873171097
FLOT1	0.21083787225305128
FLRT2	0.019167079295731936
FNDC4	0.05750123788719581
FNDC8	0.019167079295731936
GANAB	0.17250371366158743
GAREM1	0.019167079295731936
GBA	0.019167079295731936
GBF1	0.21083787225305128
GCKR	0.019167079295731936
GIT2	0.03833415859146387
GJA1	0.49834406168903034
GJC2	0.019167079295731936
GLIS2	0.07666831718292774
GLTP	0.019167079295731936
GMPPA	0.019167079295731936
GMPPB	0.11500247577439161
GNB4	0.13416955507012354
GNG11	0.03833415859146387
GNG3	0.03833415859146387
GNPNAT1	0.07666831718292774
GOSR2	0.07666831718292774
GPATCH2	0.019167079295731936
GPATCH4	0.07666831718292774
GPD1L	0.05750123788719581
GPN1	0.05750123788719581
GRINA	0.019167079295731936
GSS	0.019167079295731936
GTF2H4	0.03833415859146387
GTPBP1	0.05750123788719581
HABP2	0.05750123788719581
HABP4	0.05750123788719581
HAND1	0.07666831718292774
HCN3	0.03833415859146387
HCN4	0.03833415859146387
HEATR5B	0.019167079295731936
HINT2	0.09583539647865968
HIPK4	0.019167079295731936
HLF	0.019167079295731936
HNRNPR	0.34500742732317485
HNRNPUL2	0.13416955507012354
HOMEZ	0.019167079295731936
HPGDS	0.019167079295731936
HSD17B6	0.019167079295731936
HTR2A	0.019167079295731936
IBA57	0.05750123788719581
ICMT	0.05750123788719581
ID2	0.17250371366158743
IFT172	0.019167079295731936
IGF2BP2	0.21083787225305128
IGFBP3	0.03833415859146387
INHA	0.019167079295731936
INKA1	0.03833415859146387
INTS5	0.07666831718292774
IP6K1	0.019167079295731936
IQGAP3	0.05750123788719581
JOSD1	0.07666831718292774
KCNAB2	0.03833415859146387
KCND3	0.03833415859146387
KCNE1	0.11500247577439161
KCNE2	0.05750123788719581
KCNH2	0.21083787225305128
KCNJ1	0.03833415859146387
KCNJ2	0.11500247577439161
KCNJ5	0.09583539647865968
KCNN2	0.05750123788719581
KCNQ1	0.2683391101402471
KDM3B	0.11500247577439161
KIAA2013	0.03833415859146387
KIDINS220	0.05750123788719581
KIF20A	0.6900148546463497
KIRREL3	0.019167079295731936
KLF12	0.019167079295731936
KLHL42	0.05750123788719581
KRTCAP2	0.019167079295731936
L1TD1	0.2683391101402471
LANCL2	0.05750123788719581
LAPTM4B	0.019167079295731936
LBHD1	0.019167079295731936
LIG3	0.13416955507012354
LIPH	0.03833415859146387
LITAF	0.07666831718292774
LMO4	0.019167079295731936
LRCH1	0.019167079295731936
LRIG1	0.07666831718292774
MAP3K7	0.17250371366158743
MAPKAP1	0.11500247577439161
MAPT	0.8241844097164732
MATN2	0.03833415859146387
MBLAC1	0.03833415859146387
MCM7	0.30667326873171097
MCM9	0.019167079295731936
MDC1	0.34500742732317485
MED13L	0.019167079295731936
MEF2D	0.019167079295731936
MEIS1	0.019167079295731936
MEPCE	0.42167574450610257
MET	0.30667326873171097
METTL17	0.19167079295731937
MFF	0.11500247577439161
MFN1	0.05750123788719581
MICU2	0.019167079295731936
MITF	0.019167079295731936
MKLN1	0.019167079295731936
MN1	0.019167079295731936
MPPED2	0.03833415859146387
MRPS35	0.24917203084451517
MRTFB	0.019167079295731936
MST1	0.21083787225305128
MTA2	0.2683391101402471
MTCH1	0.23000495154878323
MTHFR	0.019167079295731936
MTX1	0.05750123788719581
MUC1	0.11500247577439161
MUC17	0.019167079295731936
MYBPHL	0.019167079295731936
MYD88	0.05750123788719581
MYH11	0.07666831718292774
MYH6	0.05750123788719581
MYH7	0.03833415859146387
MYH7B	0.05750123788719581
NACA	0.13416955507012354
NAXE	0.03833415859146387
NCL	0.6325136167591539
NCOA2	0.05750123788719581
NDRG2	0.09583539647865968
NDRG4	0.05750123788719581
NDUFB3	0.03833415859146387
NECTIN2	0.05750123788719581
NFKB2	0.19167079295731937
NGDN	0.05750123788719581
NIF3L1	0.15333663436585548
NKD2	0.03833415859146387
NKX2-5	0.05750123788719581
NME7	0.11500247577439161
NMNAT1	0.05750123788719581
NOS1AP	0.03833415859146387
NOS3	0.23000495154878323
NPPA	0.05750123788719581
NPPB	0.03833415859146387
NPR2	0.03833415859146387
NR3C2	0.07666831718292774
NRAP	0.05750123788719581
NRBP1	0.05750123788719581
NRBP2	0.019167079295731936
NRXN3	0.019167079295731936
NSD3	0.07666831718292774
NUBP1	0.019167079295731936
NUCKS1	0.03833415859146387
NYAP1	0.019167079295731936
OBSCN	0.19167079295731937
OBSL1	0.6325136167591539
ORC2	0.11500247577439161
OXSR1	0.019167079295731936
PABPN1	0.05750123788719581
PAM	0.34500742732317485
PARVA	0.05750123788719581
PCDH7	0.03833415859146387
PCOLCE	0.019167079295731936
PDE3A	0.07666831718292774
PDIK1L	0.019167079295731936
PIK3C3	0.05750123788719581
PILRA	0.019167079295731936
PITX3	0.05750123788719581
PLCD1	0.07666831718292774
PLCG1	0.28750618943597905
PLD3	0.019167079295731936
PLEC	0.47917698239329837
PLN	0.15333663436585548
PLOD1	0.17250371366158743
PLXNA2	0.019167079295731936
PM20D1	0.019167079295731936
PMP22	0.17250371366158743
POLR2G	0.09583539647865968
POM121	0.05750123788719581
PPARGC1A	0.03833415859146387
PPFIA2	0.03833415859146387
PPIL1	0.019167079295731936
PPM1G	0.19167079295731937
PPP1CC	0.40250866521037065
PPP1R35	0.03833415859146387
PPP1R3E	0.019167079295731936
PPTC7	0.03833415859146387
PRIM1	0.07666831718292774
PRKAG2	0.019167079295731936
PRKCA	0.28750618943597905
PRKCD	0.24917203084451517
PRX	0.03833415859146387
PSMA5	0.05750123788719581
PTGES3	0.21083787225305128
PTPN23	0.03833415859146387
PUF60	0.34500742732317485
PVRIG	0.03833415859146387
RAB3IL1	0.03833415859146387
RAD51D	0.05750123788719581
RALY	0.13416955507012354
RASSF3	0.03833415859146387
RBM20	0.019167079295731936
RCOR1	0.05750123788719581
RELB	0.15333663436585548
REP15	0.019167079295731936
