SIGNET_SOURCE	SIGNET_DEST
ABCB8	SCN3B
ABHD10	NAXE SOD2
ACAA1	TXNDC11
ACHE	HAND1
ACTL6A	BRD8 CCT6B DPF3 FEN1 NCL RELB SMARCAD1 TBX5
ACVR2A	ACVR2B BMP2 INHA RNF11
ACVR2B	ACVR2A BMP2
ADAM15	SGIP1 SH3PXD2A SORBS1 TRIP13
ADCK1	MTX1 SLC6A4 TOMM22 TOMM40
ADM	CALCRL EDN1
AGAP3	SLC6A4
AGTRAP	ALDH18A1 FARS2 NDRG4 SENP2 ZNF391
AKAP9	BLZF1 CALM1 CALM2 CALM3 GLIS2 KCNJ5 KCNQ1 PUF60
AKT2	AP4M1 CDKN1A SKI
ALDH18A1	AGTRAP ARHGEF40 CHMP4B CMTM5 DCP1A EED MEPCE RNF123
ALG10B	ATP5F1B KCNH2
AMPD3	CAV3 KCNQ1 SLC6A4
ANAPC7	CDC23 CREBBP MDC1 MN1 MTCH1 NCL SMARCAD1
ANK2	CAV3 KCNQ1 KIF20A MDC1 OBSCN PAM SLC8A1
ANKRD13A	CAV1 FAM189B RNF11
ANO3	SORT1
AP4M1	AKT2
APEH	PPM1G RMC1
APOC1	BCL2L2 DBX1
APOC2	APOE BCL2L2 SENP2
APOC4	BCL2L2 SENP2
APOE	APOC2 APOH ATP2A2 ATP5F1B CD81 MAPT NOS3 PITX3 SELP SENP2 UBA3
APOH	APOE
ARHGAP24	NACA
ARHGEF16	GBF1 SCRIB
ARHGEF40	ALDH18A1 MAPT SRRT STC2
ASIC4	BSCL2 CLPTM1 NOS3 PMP22 RNF11
ATP1B1	ATP2A2 CACNA1C CAV3 CD81 EEF1G EIF2S2 KCNH2 KCNQ1 KIRREL3 MAPT MRPS35 MTCH1 NDRG2 NOS3 TOMM40
ATP2A2	APOE ATP1B1 BET1 CACNA1C CAV3 EED GJA1 MAPT MDC1 PLN RMC1 SKI SLC4A4 SLC8A1 TCTN3
ATP5F1B	ALG10B APOE CACNA1C CCNL1 CDC23 CDKN1A CHMP4B EED EEF1G FGFR1 GJA1 HINT2 KIF20A MAPT MEPCE METTL17 NACA NUBP1 OBSL1 PPM1G PPP1CC SKI SLC19A2 SLC35F1 TBX3 TOMM22 TOMM40 TRIM63 TTN TUBB
ATP6V1C1	EED MRPS35 VPS29
BAZ2A	CSTA EED
BAZ2B	RNF123
BCAM	CD81
BCAT1	TRIM63
BCL11A	MTA2
BCL2L2	APOC1 APOC2 APOC4 MUC1 SLC39A2 TMEM179B
BET1	ATP2A2 BLZF1 EIF2S2 GBF1 GJA1 GOSR2 KIDINS220 MFF SCAMP3 TCTN3 TMF1 TRDN TRIP13 ZNF512
BLZF1	AKAP9 BET1 ORC2 TSC22D4
BMP2	ACVR2A ACVR2B
BNIP1	SCN3B
BRD8	ACTL6A
BSCL2	ASIC4 INKA1 KIAA2013 POM121 SPAG8
C11orf98	MAPT
C19orf47	PIK3C3
C1orf112	TSSC4
CACNA1C	ATP1B1 ATP2A2 ATP5F1B CACNA1D CACNA2D1 CACNB2 CALM1 CALM2 CALM3 CAV1 CAV3 EEF1G FGFR1 KCNE2 LITAF PLN RYR2 SCN5A SPEG SRRT
CACNA1D	CACNA1C CACNB2 SCN10A SCN5A
CACNA2D1	CACNA1C CACNB2 CAV3 MYH7B SLC8A1
CACNB2	CACNA1C CACNA1D CACNA2D1 KCNH2
CADPS	TRIM63
CAGE1	MPPED2
CALCRL	ADM
CALM1	AKAP9 CACNA1C CAMK2D CAV3 CCNL1 CHMP4B EED FER GJA1 IQGAP3 JOSD1 KCNE1 KCNN2 KCNQ1 KIF20A MAP3K7 MAPT MET NFKB2 NOS3 OBSCN PAM PIK3C3 PLCD1 RELB RIOK3 RPL22 RYR2 SCN10A SCN5A SNTA1 SPATA17 TBX3 TGM2 TRDN TTN
CALM2	AKAP9 CACNA1C CAMK2D CAV3 CCNL1 EED GJA1 IQGAP3 JOSD1 KCNE1 KCNN2 KCNQ1 MAP3K7 MAPT NFKB2 NOS3 OBSCN PAM RELB RIOK3 RYR2 SCN10A SCN5A SPATA17 TTN
CALM3	AKAP9 CACNA1C CAMK2D CAV3 EED GJA1 IQGAP3 JOSD1 KCNE1 KCNN2 KCNQ1 MAP3K7 MAPT NFKB2 NOS3 OBSCN PAM RELB RIOK3 RYR2 SCN10A SCN5A SPATA17 TTN
CAMK2D	CALM1 CALM2 CALM3 CDKN1A DNAL4 MTA2 RYR2 SCN5A VARS2
CAND2	CAV3 EED GJA1 KCNQ1 PLOD1
CAPZA2	CCNL1 CHMP4B CNOT1 EED FLOT1 GJA1 KIF20A MAPT OBSL1 PCDH7 PLEC PPP1CC SLC6A4
CASP7	CFLAR COPS6 DSP MAPT MEF2D NIF3L1 NUCKS1 PTGES3 UBE4B
CASQ2	CBX6 GJA1 OBSL1 PAM PLEC TRDN
CASR	PRKCA
CAV1	ANKRD13A CACNA1C CAV3 CAVIN2 CHMP4B ESD FLOT1 FNDC4 GJA1 HTR2A IGFBP3 KCNH2 KIF20A NKD2 NOS3 NR3C2 PLCG1 PPM1G SNTA1
