locus_name	gene_name	gene_special	special_score	gene_locusdist_kbp	distance_score	ppi_score	edges_in_otheractive	ppi_deg_active_cnt	ppi_deg_active_names	ppi_deg	TF_score	TF_indeg	TF_in_active_cnt	TF_in_active_names	TF_outdeg	TF_out_active_cnt	TF_out_active_names	total_score	gene_type	snp_type	gene_pattern
locus_AKAP9	AKAP9	omim	1.8795756752349717	84.916	0.1809812430193561	9.835150647633384	262	5	CALM1:omim;CALM2:omim;CALM3:omim;KCNJ5:coloc,omim;KCNQ1:exome,omim	8	1.9519681597603187	0	0	.	0	0	.	13.847675725648031	omim		.
locus_ANK2	ANK2	omim	1.8795756752349717	283.094	0.021513925859726543	9.835150647633384	262	5	CAV3:omim;KCNQ1:exome,omim;OBSCN;PAM;SLC8A1	7	1.9519681597603187	0	0	.	0	0	.	13.6882084084884	omim		.
locus_CACNA2D1	CACNA2D1	omim	1.8795756752349717	248.666	0.02762167492374458	9.835150647633384	262	4	CACNA1C:omim;CACNB2:omim;CAV3:omim;SLC8A1	5	1.9519681597603187	0	0	.	0	0	.	13.694316157552418	omim		.
locus_CACNB2	CACNB2	omim	1.8795756752349717	201.41	0.0412162221820247	9.835150647633384	262	3	CACNA1C:omim;CACNA2D1:omim;KCNH2:exome,omim	4	1.9519681597603187	0	0	.	0	0	.	13.7079107048107	omim		.
locus_CALM1	CALM1	omim	1.8795756752349717	5.883	0.687236409846487	9.835150647633384	262	22	AKAP9:omim;CACNA1C:omim;CAMK2D:coloc;CAV3:omim;FER;GJA1;KCNE1:omim;KCNN2;KCNQ1:exome,omim;MAP3K7;OBSCN;PAM;PIK3C3;RIOK3;RYR2:omim;SCN10A:coloc,exome,omim;SNTA1:omim;SPATA17;TBX3;TGM2;TRDN:omim;TTN:exome	35	1.9519681597603187	0	0	.	0	0	.	14.353930892475162	omim		.
locus_CALM2	CALM2	omim	1.8795756752349717	0.205	0.6969075718259351	9.835150647633384	262	16	AKAP9:omim;CACNA1C:omim;CAMK2D:coloc;CAV3:omim;GJA1;KCNE1:omim;KCNN2;KCNQ1:exome,omim;MAP3K7;OBSCN;PAM;RIOK3;RYR2:omim;SCN10A:coloc,exome,omim;SPATA17;TTN:exome	24	1.9519681597603187	0	0	.	0	0	.	14.36360205445461	omim		.
locus_CALM3	CALM3	omim	1.8795756752349717	4.854	0.6902969962986351	9.835150647633384	262	16	AKAP9:omim;CACNA1C:omim;CAMK2D:coloc;CAV3:omim;GJA1;KCNE1:omim;KCNN2;KCNQ1:exome,omim;MAP3K7;OBSCN;PAM;RIOK3;RYR2:omim;SCN10A:coloc,exome,omim;SPATA17;TTN:exome	23	1.9519681597603187	0	0	.	0	0	.	14.35699147892731	omim		.
locus_CAV3	CAV3	omim	1.8795756752349717	54.003	0.3222818087274732	9.835150647633384	262	27	AMPD3;ANK2:omim;ATP1B1;ATP2A2;CACNA1C:omim;CACNA2D1:omim;CALM1:omim;CALM2:omim;CALM3:omim;CAND2;CAV1:coloc;DYSF;FERMT2;HCN4:omim;KCNH2:exome,omim;KCNJ2:omim;NACA:exome;PLEC;RYR2:omim;SLC8A1;SNTA1:omim;SOD2;SRL;SUN2;TGM2;TKT;TTN:exome	34	1.9519681597603187	0	0	.	0	0	.	13.988976291356149	omim		.
locus_DDX17	DDX17	coloc	1.8914897580833268	0.674	0.6967905665269003	9.835150647633384	262	7	CREBBP;L1TD1;NCOA2;PARVA;PLEC;SMARCAD1;TRPM7	21	1.9519681597603187	0	0	.	0	0	.	14.375399132003931	coloc		.
locus_FAM13B	FAM13B	coloc	1.8914897580833268	9.465	0.6724165278642141	9.835150647633384	262	0		0	1.9519681597603187	0	0	.	0	0	.	14.351025093341242	coloc		.
