locus_name	gene_name	gene_special	special_score	gene_locusdist_kbp	distance_score	ppi_score	edges_in_otheractive	ppi_deg_active_cnt	ppi_deg_active_names	ppi_deg	TF_score	TF_indeg	TF_in_active_cnt	TF_in_active_names	TF_outdeg	TF_out_active_cnt	TF_out_active_names	total_score	gene_type	snp_type	gene_pattern
rs242562	KANSL1	.	0.0	96.748	-0.2504999115758712	30.34172682708811	278	0		0	1.9205790454689249	0	0	.	0	0	.	32.011805960981164	protein_coding		.
rs242562	MAPT	.	0.0	54.846	-0.487118846901058	28.289032736849578	293	15	ATP1B1;ATP2A2;CALM1:omim;CALM2:omim;CALM3:omim;CAPZA2;CREBBP;DDX17:coloc;EIF2S2;LANCL2;NDRG2;PRKCA:coloc;SGIP1;SLC4A4;SOD2	36	1.9205790454689249	0	0	.	0	0	.	29.72249293541744	protein_coding		.
rs242562	SPPL2C	.	0.0	104.492	-0.2239561621078842	30.34172682708811	278	0		0	1.9205790454689249	0	0	.	0	0	.	32.03834971044915	protein_coding		s1__1
rs242562	STH	.	0.0	49.877	-0.5284759821040995	30.34172682708811	278	0		0	1.9205790454689249	0	0	.	0	0	.	31.73382989045293	protein_coding		.
rs12132562	C1orf105	.	0.0	67.214	-0.397378435748748	30.34172682708811	278	0		0	1.9205790454689249	0	0	.	0	0	.	31.864927436808287	protein_coding		s1__1
rs12132562	PIGC	.	0.0	61.855	-0.4339426898288733	30.34172682708811	278	0		0	1.9205790454689249	0	0	.	0	0	.	31.82836318272816	protein_coding		.
locus_SCN3B	SCN3B	omim	1.879575675234972	7.06	-0.8878372412319114	30.34172682708811	278	2	FGFR1;PMP22	5	1.9205790454689249	0	0	.	0	0	.	33.2540443065601	omim		s1111
rs830233	TENM2	.	0.0	1575.283	-0.0013314195252611	30.34172682708811	278	0		1	1.9205790454689249	0	0	.	0	0	.	32.26097445303177	protein_coding	intergenic_variant	s1__1
rs4911179+rs6088791	CHMP4B	.	0.0	96.561	-0.2511908889874013	27.87767809135965	283	7	CALM1:omim;CAPZA2;CAV1:coloc;DDX17:coloc;FLOT1;GNB4:coloc;PAM	27	1.9205790454689249	0	0	.	0	0	.	29.54706624784118	protein_coding		.
rs4911179+rs6088791	EIF2S2	.	0.0	115.41	-0.1925558004869408	30.34172682708811	278	2	ATP1B1;PMP22	7	1.9205790454689249	0	0	.	0	0	.	32.06975007207009	protein_coding		s1_11
rs4911179+rs6088791	RALY	.	0.0	20.747	-0.801073769280547	29.869830076585515	277	1	L1TD1	7	1.9205790454689249	0	0	.	0	0	.	30.98933535277389	protein_coding		.
rs7538988	RNF11	.	0.0	115.596	-0.1920740941549484	29.14745804946349	280	2	ACVR2A;ZDHHC20	10	1.9205790454689249	0	0	.	0	0	.	30.875963000777475	protein_coding		.
rs7538988	TTC39A	.	0.0	53.879	-0.494933838715191	30.34172682708811	278	0		0	1.9205790454689249	0	0	.	0	0	.	31.767372033841845	protein_coding		s0__1
rs6845865	NR3C2	.	0.0	25.311	-0.7603762736979772	30.34172682708811	278	3	CAV1:coloc;CREBBP;NCOA2	4	1.9205790454689249	0	0	.	1	1	ATP1B1	31.501929598859057	protein_coding		s1_11
rs1320761+rs3792943	GJA1	.	0.0	1.771	-0.8998851415935164	30.34172682708811	278	17	ATP2A2;CALM1:omim;CALM2:omim;CALM3:omim;CAND2;CAPZA2;CASQ2:omim;CAV1:coloc;CDH2;L1TD1;PIK3C3;PRKCA:coloc;RYR2:omim;SCN10A:coloc,exome,omim;SLC8A1;SOD2;VPS29:coloc	26	1.9205790454689249	0	0	.	0	0	.	31.36242073096352	protein_coding		s1_11
locus_CACNB2	CACNB2	omim	1.879575675234972	201.41	-0.0744224315818939	30.34172682708811	278	4	CACNA1C:omim;CACNA1D;CACNA2D1:omim;KCNH2:exome,omim	4	1.9205790454689249	0	0	.	0	0	.	34.06745911621012	omim		s1111
rs11081761	GAREM1	.	0.0	136.264	-0.1474256233769033	30.34172682708811	278	0		1	1.9205790454689249	0	0	.	0	0	.	32.11488024918013	protein_coding		s1__1
rs1890262	L1TD1	.	0.0	80.447	-0.3212044490603148	30.34172682708811	278	3	DDX17:coloc;FLOT1;GJA1	13	1.9205790454689249	0	0	.	0	0	.	31.94110142349672	protein_coding	intergenic_variant	s1_11
rs112421686	PARVA	.	0.0	139.929	-0.1410535785467496	30.34172682708811	278	2	DDX17:coloc;FERMT2	3	1.9205790454689249	0	0	.	0	0	.	32.12125229401028	protein_coding		s1_11
locus_SCN4B	SCN4B	omim	1.879575675234972	3.727	-0.8970803755572836	30.34172682708811	278	1	SCN1B:omim	1	1.9205790454689249	0	0	.	0	0	.	33.24480117223472	omim		s1111
rs17201923	FLRT2	coloc	1.8914897580833268	199.924	-0.0754346761393716	30.34172682708811	278	1	FGFR1	1	1.9205790454689249	0	0	.	0	0	.	34.078360954500994	protein_coding		s1111
rs1052536+rs2230553+rs9635769	CCT6B	.	0.0	0.058	-0.9007057996539102	29.23202289515362	277	0		4	1.9205790454689249	0	0	.	0	0	.	30.25189614096864	protein_coding		.
rs1052536+rs2230553+rs9635769	FNDC8	.	0.0	117.059	-0.1883419024807938	29.86983007658557	277	0		1	1.9205790454689249	0	0	.	0	0	.	31.602067219573705	protein_coding		.
rs1052536+rs2230553+rs9635769	LIG3	coloc	1.8914897580833268	19.168	-0.8141859430117326	29.52746442867229	279	2	LRIG1;TCF7L2	7	1.9205790454689249	0	0	.	0	0	.	32.52534728921281	protein_coding		.
rs1052536+rs2230553+rs9635769	RAD51D	.	0.0	115.304	-0.192831058155793	29.44344687328598	277	0		3	1.9205790454689249	0	0	.	0	0	.	31.17119486059911	protein_coding		.
rs1052536+rs2230553+rs9635769	RFFL	coloc	1.8914897580833268	59.151	-0.4537325470857099	30.34172682708811	278	1	KCNH2:exome,omim	1	1.9205790454689249	0	0	.	0	0	.	33.70006308355465	protein_coding		s0111
rs1052536+rs2230553+rs9635769	ZNF830	.	0.0	0.196	-0.9006966095267109	30.34172682708811	278	1	SESTD1	1	1.9205790454689249	0	0	.	0	0	.	31.361609263030324	protein_coding		.
rs2419577	RBM20	.	0.0	87.526	-0.2877376263193797	30.34172682708811	278	1	RYR2:omim	1	1.9205790454689249	0	0	.	0	0	.	31.97456824623765	protein_coding		s1_11
locus_VPS29	VPS29	coloc	1.8914897580833268	5.514	-0.8928095520888946	30.34172682708811	278	2	ATP6V1C1;GJA1	9	1.9205790454689249	0	0	.	0	0	.	33.26098607855147	coloc		s1111
