locus_name	score_gap	candidate_gene	candidate_score	penulatimate_gene	penultimate_score
rs242562	2.2893130255637253	KANSL1	32.011805960981164	MAPT	29.72249293541744
rs1052536+rs2230553+rs9635769	0.9232800696391052	LIG3	32.52534728921281	FNDC8	31.602067219573705
rs3189030	1.5165614307971609	HABP2	31.47257272548117	CASP7	29.95601129468401
rs2744375+rs7771320	3.286081497172887	CAGE1	32.06369848944116	DSP	28.77761699226827
rs1805123+rs2072413+rs3807375	6.4356353163869215	KCNH2	36.4050754327962	AGAP3	29.96944011640928
rs12364753	0.15208953450115814	TAF6L	32.008062965854094	TMEM223	31.855973431352936
rs11264339	0.054383149176445045	GBAP1	33.632815174700795	EFNA1	33.57843202552435
rs17881696	1.1787300970085184	ACHE	33.2530946919311	SRRT	32.074364594922585
rs3749237	0.3616394848365445	CDHR4	31.817328627829184	INKA1	31.45568914299264
rs75190942	0.2990883086001297	C11orf45	31.04900343703401	KCNJ1	30.74991512843388
rs145358377+rs200882245+rs2273042+rs709209+rs846111	0.5302310718795908	KCNAB2	31.80100411981934	GPR153	31.27077304793975
rs164133+rs17460657+rs347272	2.508579648676296	C1orf226	33.439333300994114	SH2D1B	30.93075365231782
rs2926743+rs2958149	2.9340840948296254	NACA	34.525581393860506	BAZ2A	31.59149729903088
rs2298632	0.11318604379441055	E2F2	31.87083394914296	ASAP3	31.75764790534855
rs1171563	0.6546672430804392	IQGAP3	31.96695513132083	NAXE	31.31228788824039
rs9296504	0.059801036018242826	ANKRD66	31.963913635081923	PLA2G7	31.90411259906368
rs2485376	0.15826059096584544	ELOVL3	31.54381597947092	GBF1	31.385555388505075
rs2025096	0.10849131911643184	GGT7	32.04758144857165	ACSS2	31.939090129455217
rs10865879+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	0.5879547691282845	ACVR2B	31.714527667844106	EXOG	31.12657289871582
rs4855537	0.3278005105532422	TAFA4	31.95579526826772	EOGT	31.62799475771448
rs2358740+rs4687718	0.8462586715178055	CACNA1D	31.94225750945301	DCP1A	31.095998837935205
rs1264353	0.35252710515141317	FLOT1	31.934362770410782	MUCL3	31.58183566525937
rs12889267	0.4603920788609912	NDRG2	31.72475442255092	RNASE2	31.26436234368993
rs404321	0.15025946804820123	SPDYE11	31.99455812572337	SPDYE8	31.844298657675168
rs1106399	0.038880188059064125	NDUFB3	31.907801774045105	FAM126B	31.86892158598604
rs10457327+rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs3951016+rs9489510	0.24979137418085173	MCM9	31.772101338787543	CEP85L	31.52230996460669
rs174536+rs174577+rs174583	0.1779437977730538	DAGLA	32.03698278974264	BEST1	31.859038991969584
rs2997447	0.017191063137104834	C1orf232	32.03408824879257	FAM110D	32.016897185655466
rs75714509	1.3276464698014934	HVCN1	31.70969181584079	PPP1CC	30.3820453460393
rs4648819	0.18053518911805355	MORN1	33.12531868650377	FAAP20	32.944783497385714
rs17784882	0.5053362464813027	CSPG5	31.919541992042586	ELP6	31.414205745561283
rs1260326	0.22023472219208884	CCDC121	32.07523174178543	KRTCAP3	31.85499701959334
rs140367586	0.04255768274958882	TAF6	31.764695246006497	CNPY4	31.722137563256908
rs4608502	0.0013193835251037456	COL4A4	31.609741106680623	COL4A3	31.60842172315552
rs56233017	0.28608453915240517	GRINA	31.95242991341493	PARP10	31.666345374262526
rs2076028	0.07655624464456423	CBY1	32.01567966483734	JOSD1	31.93912342019278
rs12359272	1.8938460351217117	ENTPD1	31.183298561505552	ALDH18A1	29.28945252638384
rs11068997	0.25076551085438936	C12orf76	32.03425125641772	GIT2	31.78348574556333
rs16974196	0.003969198053557221	SERTAD1	32.00149778710477	BLVRB	31.99752858905121
rs7537765	0.9514060115937468	AGTRAP	31.990049627368187	C1orf167	31.03864361577444
rs1361754+rs1775154	2.259919671534284	PM20D1	34.52499140283537	ELK4	32.265071731301084
rs1805128	0.1953689672795491	KCNE1	33.26771142680236	KCNE2	33.07234245952281
rs55910611+rs907683	2.6480167467408577	SLC4A3	36.41643617495436	SPEG	33.768419428213505
rs1983546+rs6018+rs6027+rs6033	0.002913500138731706	F5	31.58425335472395	C1orf112	31.581339854585217
rs748802	0.229023979187712	FAM221B	31.68589833221669	OR2S2	31.45687435302898
rs11465506+rs422068	0.2838350448470024	HOMEZ	31.973657967499754	MYH7	31.689822922652752
rs116202356	0.07189260870234904	OXSR1	31.732973102010888	MYD88	31.66108049330854
rs11920570+rs1801725	2.154890582845063	CASR	35.18527981329426	CCDC58	33.030389230449195
rs2074238+rs2301696+rs7122937	6.186339339169251	KCNQ1	36.48303552843144	C11orf21	30.296696189262185
rs12721051	0.11144922743475405	BCAM	31.663842902125992	NECTIN2	31.55239367469124
rs10040989+rs1468333	0.4297104834577645	FAM53C	32.001003475985286	CDC25C	31.57129299252752
rs7808970	0.009162059123397626	PCOLCE	32.079365395251315	PILRA	32.07020333612792
rs17608766	0.6523056405953689	RPRML	31.66503424430666	GOSR2	31.01272860371129
rs1050288	0.34189798870106003	MANSC4	31.38617933057042	KLHL42	31.04428134186936
rs6762208+rs7638853	3.0520878203570874	LIPH	32.8728539461443	IGF2BP2	29.820766125787216
rs182770070	0.11956561117485975	CTNNBIP1	31.54799872682387	CLSTN1	31.42843311564901
rs12127701	0.5566105234090202	CELSR2	31.70051948538724	PSRC1	31.14390896197822
rs255292+rs4868243	0.37429052584004907	CREBRF	31.15634741587148	BNIP1	30.78205689003143
rs1321311+rs236349+rs9470361	0.15289000225973126	PI16	32.0070487378656	MTCH1	31.85415873560587
