gene_name	gene_closestsnpdist_kbp	gene_closestsnp
GFRA3	14.344	rs10040989
CDC23	3.958	rs1468333
KIF20A	38.562	rs1468333
BRD8	38.651	rs1468333
CDC25C	93.768	rs10040989
FAM53C	93.899	rs10040989
NME5	77.853	rs1468333
KDM3B	114.649	rs10040989
LIG3	19.168	rs9635769
ZNF830	0.196	rs9635769
CCT6B	0.058	rs9635769
RFFL	59.151	rs1052536
RAD51D	115.304	rs1052536
FNDC8	117.059	rs1052536
KCNJ2	38.732	rs236586
ATP1B1	4.485	rs12061601
NME7	58.888	rs12079745
PLN	17.502	rs3734382
SCN5A	16.941	rs11710077
EXOG	22.131	rs2051211
SCN10A	18.358	rs9851724
MATN2	30.738	rs11779860
LAPTM4B	63.045	rs11779860
NOS1AP	5.674	rs12143842
OLFML2B	27.288	rs6669543
SNN	27.669	rs12444261
TXNDC11	38.297	rs12444261
LITAF	8.116	rs7198919
CREBBP	98.587	rs1296720
SLC8A1	73.773	rs12997023
SH2D1B	0.638	rs164133
C1orf226	30.133	rs347272
SPATA46	24.495	rs347272
UHMK1	85.753	rs164133
NKD2	6.146	rs16870629
SLC12A7	14.9	rs737154
TRIP13	122.064	rs16870629
NCOA2	167.325	rs16936870
FADS1	20.339	rs174577
FADS3	31.241	rs174583
FADS2	8.525	rs174536
FEN1	8.456	rs174536
TMEM258	6.148	rs174536
RAB3IL1	75.288	rs174583
MYRF	31.819	rs174536
BEST1	108.073	rs174583
NUCKS1	14.665	rs1775154
RAB29	40.499	rs1775154
SLC45A3	64.819	rs1775154
SLC41A1	19.546	rs1361754
ELK4	95.594	rs1775154
PM20D1	4.719	rs1361754
ELP6	6.873	rs17784882
SCAP	26.572	rs17784882
CSPG5	76.352	rs17784882
PTPN23	121.502	rs17784882
KCNE1	10.222	rs1805128
SMIM34	30.667	rs1805128
C21orf140	49.27	rs1805128
RCAN1	72.201	rs1805128
SMIM11	73.902	rs1805128
KCNE2	85.376	rs1805128
AZIN1	56.454	rs1961102
ATP6V1C1	100.446	rs1961102
SLC19A2	13.036	rs1983546
CCDC181	49.471	rs1983546
BLZF1	108.975	rs1983546
F5	33.866	rs6033
KCNH2	4.923	rs2072413
NOS3	20.895	rs3807375
ATG9B	42.663	rs3807375
ABCB8	58.3	rs3807375
ASIC3	78.17	rs3807375
CDK5	83.693	rs3807375
SLC4A2	87.088	rs3807375
KCNQ1	18.889	rs2074238
TRPM5	17.258	rs2301696
TSSC4	5.266	rs2301696
CD81	29.577	rs2301696
CHD5	12.725	rs2273042
KCNAB2	98.135	rs2273042
RPL22	12.482	rs145358377
RNF207	6.602	rs145358377
ANKRD9	1.114	rs2273905
RCOR1	83.987	rs2273905
TCEA3	3.073	rs2298632
ZNF436	24.534	rs2298632
ASAP3	52.695	rs2298632
HNRNPR	77.35	rs2298632
E2F2	122.456	rs2298632
TSPAN32	103.757	rs2301696
C11orf21	103.836	rs2301696
SLC4A4	209.832	rs2363719
MRTFB	230.254	rs246185
SETD6	24.87	rs246196
NDRG4	36.824	rs4784934
CNOT1	89.477	rs246196
GBF1	44.728	rs2485376
PITX3	58.166	rs2485376
ELOVL3	63.95	rs2485376
NFKB2	103.861	rs2485376
SPATS2L	9.905	rs295140
ATP2A2	4.642	rs3026445
ANAPC7	118.31	rs3026445
TRPM7	22.187	rs3105593
