DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2017-03-27	27798624	Eppinga RN	2016-10-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27798624	Identification of genomic loci associated with resting heart rate and shared genetic predictors with all-cause mortality.	Resting heart rate	127,919 European ancestry individuals, 2,478 Asian ancestry individuals, 1,734 Black individuals, 684 Mixed ancestry individuals, 1,436 individuals	130,795 European ancestry individuals	3p22.2	3	38579746	SCN5A	SCN5A			ENSG00000183873			rs41312411-G	rs41312411	0	41312411	intron_variant	0	0.15	1E-11	11.0		0.32	[0.23-0.41] unit decrease	Affymetrix [19941912] (imputed)	N	resting heart rate	http://www.ebi.ac.uk/efo/EFO_0004351	GCST003818	Genome-wide genotyping array
2017-03-27	27798624	Eppinga RN	2016-10-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27798624	Identification of genomic loci associated with resting heart rate and shared genetic predictors with all-cause mortality.	Resting heart rate	127,919 European ancestry individuals, 2,478 Asian ancestry individuals, 1,734 Black individuals, 684 Mixed ancestry individuals, 1,436 individuals	130,795 European ancestry individuals	1q32.2	1	207788387	CD46, CD34	CD46			ENSG00000117335			rs41317993-A	rs41317993	0	41317993	intron_variant	0	0.1	5E-31	30.30102999566398		0.6304	[0.52-0.74] unit increase	Affymetrix [19941912] (imputed)	N	resting heart rate	http://www.ebi.ac.uk/efo/EFO_0004351	GCST003818	Genome-wide genotyping array
2017-03-27	27798624	Eppinga RN	2016-10-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27798624	Identification of genomic loci associated with resting heart rate and shared genetic predictors with all-cause mortality.	Resting heart rate	127,919 European ancestry individuals, 2,478 Asian ancestry individuals, 1,734 Black individuals, 684 Mixed ancestry individuals, 1,436 individuals	130,795 European ancestry individuals	7q31.2	7	116806519	MET	MET - CAPZA2	ENSG00000105976	ENSG00000198898		8133	4551	rs41748-G	rs41748	0	41748	regulatory_region_variant	1	0.45	7E-9	8.154901959985743		0.1926	[0.13-0.26] unit decrease	Affymetrix [19941912] (imputed)	N	resting heart rate	http://www.ebi.ac.uk/efo/EFO_0004351	GCST003818	Genome-wide genotyping array
2017-03-27	27798624	Eppinga RN	2016-10-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27798624	Identification of genomic loci associated with resting heart rate and shared genetic predictors with all-cause mortality.	Resting heart rate	127,919 European ancestry individuals, 2,478 Asian ancestry individuals, 1,734 Black individuals, 684 Mixed ancestry individuals, 1,436 individuals	130,795 European ancestry individuals	14q11.2	14	23395595	MYH6, MYH7	MYH6			ENSG00000197616			rs422068-C	rs422068	0	422068	intron_variant	0	0.36	2E-100	99.69897000433602		0.7307	[0.66-0.8] unit increase	Affymetrix [19941912] (imputed)	N	resting heart rate	http://www.ebi.ac.uk/efo/EFO_0004351	GCST003818	Genome-wide genotyping array
2017-03-27	27798624	Eppinga RN	2016-10-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27798624	Identification of genomic loci associated with resting heart rate and shared genetic predictors with all-cause mortality.	Resting heart rate	127,919 European ancestry individuals, 2,478 Asian ancestry individuals, 1,734 Black individuals, 684 Mixed ancestry individuals, 1,436 individuals	130,795 European ancestry individuals	2q36.3	2	227269439	COL4A3	COL4A3, AC097662.1			ENSG00000169031, ENSG00000236432			rs4608502-C	rs4608502	0	4608502	intron_variant	0	0.33	2E-12	11.698970004336019		0.2486	[0.18-0.32] unit increase	Affymetrix [19941912] (imputed)	N	resting heart rate	http://www.ebi.ac.uk/efo/EFO_0004351	GCST003818	Genome-wide genotyping array
2017-03-27	27798624	Eppinga RN	2016-10-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27798624	Identification of genomic loci associated with resting heart rate and shared genetic predictors with all-cause mortality.	Resting heart rate	127,919 European ancestry individuals, 2,478 Asian ancestry individuals, 1,734 Black individuals, 684 Mixed ancestry individuals, 1,436 individuals	130,795 European ancestry individuals	5q35.1	5	173216115	NKX2-5	BNIP1 - RPL7AP33	ENSG00000113734	ENSG00000254200		51728	9721	rs4868243-A	rs4868243	0	4868243	intergenic_variant	1	0.16	4E-16	15.397940008672037		0.361	[0.27-0.45] unit decrease	Affymetrix [19941912] (imputed)	N	resting heart rate	http://www.ebi.ac.uk/efo/EFO_0004351	GCST003818	Genome-wide genotyping array
2017-03-27	27798624	Eppinga RN	2016-10-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27798624	Identification of genomic loci associated with resting heart rate and shared genetic predictors with all-cause mortality.	Resting heart rate	127,919 European ancestry individuals, 2,478 Asian ancestry individuals, 1,734 Black individuals, 684 Mixed ancestry individuals, 1,436 individuals	130,795 European ancestry individuals	14q32.11	14	91117029	C14orf159	DGLUCY			ENSG00000133943			rs4900069-C	rs4900069	0	4900069	intron_variant	0	0.37	5E-9	8.301029995663981		0.1999	[0.13-0.27] unit increase	Affymetrix [19941912] (imputed)	N	resting heart rate	http://www.ebi.ac.uk/efo/EFO_0004351	GCST003818	Genome-wide genotyping array
2017-03-27	27798624	Eppinga RN	2016-10-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27798624	Identification of genomic loci associated with resting heart rate and shared genetic predictors with all-cause mortality.	Resting heart rate	127,919 European ancestry individuals, 2,478 Asian ancestry individuals, 1,734 Black individuals, 684 Mixed ancestry individuals, 1,436 individuals	130,795 European ancestry individuals	12p12.1	12	24605546	SOX5	KNOP1P1 - AC087312.1	ENSG00000256852	ENSG00000244662		20997	37141	rs4963772-A	rs4963772	0	4963772	intergenic_variant	1	0.15	3E-53	52.52287874528034		0.7139	[0.62-0.81] unit decrease	Affymetrix [19941912] (imputed)	N	resting heart rate	http://www.ebi.ac.uk/efo/EFO_0004351	GCST003818	Genome-wide genotyping array
2017-03-27	27798624	Eppinga RN	2016-10-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27798624	Identification of genomic loci associated with resting heart rate and shared genetic predictors with all-cause mortality.	Resting heart rate	127,919 European ancestry individuals, 2,478 Asian ancestry individuals, 1,734 Black individuals, 684 Mixed ancestry individuals, 1,436 individuals	130,795 European ancestry individuals	8q24.3	8	143907320	PLEC	AC109322.2 - PLEC	ENSG00000288096	ENSG00000178209		5732	7827	rs56233017-A	rs56233017	0	56233017	regulatory_region_variant	1	0.04	1E-15	15.0		0.6662	[0.5-0.83] unit decrease	Affymetrix [19941912] (imputed)	N	resting heart rate	http://www.ebi.ac.uk/efo/EFO_0004351	GCST003818	Genome-wide genotyping array
2017-03-27	27798624	Eppinga RN	2016-10-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27798624	Identification of genomic loci associated with resting heart rate and shared genetic predictors with all-cause mortality.	Resting heart rate	127,919 European ancestry individuals, 2,478 Asian ancestry individuals, 1,734 Black individuals, 684 Mixed ancestry individuals, 1,436 individuals	130,795 European ancestry individuals	2q31.1	2	174682945	WIPF1	AC010894.3			ENSG00000236449			rs564190295-GCCGCCGCCCCC	rs564190295	0	564190295	intron_variant	0	0.15	5E-10	9.301029995663981		0.3545	[0.24-0.47] unit decrease	Affymetrix [19941912] (imputed)	N	resting heart rate	http://www.ebi.ac.uk/efo/EFO_0004351	GCST003818	Genome-wide genotyping array
