Variant name	Variant source	Chromosome/scaffold name	Chromosome/scaffold position start (bp)	Chromosome/scaffold position end (bp)																																																																																																																																																																																																																																																											
rs10040989	dbSNP	5	138238036	138238036																																																																																																																																																																																																																																																											
rs1052536	dbSNP	17	35004556	35004556																																																																																																																																																																																																																																																											
rs10775360	dbSNP	17	70329727	70329727																																																																																																																																																																																																																																																											
rs10775360	dbSNP	CHR_HSCHR17_2_CTG4	70329727	70329727																																																																																																																																																																																																																																																											
rs10919070	dbSNP	1	169129799	169129799																																																																																																																																																																																																																																																											
rs11153730	dbSNP	6	118346359	118346359																																																																																																																																																																																																																																																											
rs11708996	dbSNP	3	38592432	38592432																																																																																																																																																																																																																																																											
rs11710077	dbSNP	3	38616408	38616408																																																																																																																																																																																																																																																											
rs11779860	dbSNP	8	97838102	97838102																																																																																																																																																																																																																																																											
rs12061601	dbSNP	1	169101212	169101212																																																																																																																																																																																																																																																											
rs12079745	dbSNP	1	169131822	169131822																																																																																																																																																																																																																																																											
rs12143842	dbSNP	1	162064100	162064100																																																																																																																																																																																																																																																											
rs12210733	dbSNP	6	118331912	118331912																																																																																																																																																																																																																																																											
rs12444261	dbSNP	16	11640786	11640786																																																																																																																																																																																																																																																											
rs12930096	dbSNP	16	11576902	11576902																																																																																																																																																																																																																																																											
rs1296720	dbSNP	16	3823641	3823641																																																																																																																																																																																																																																																											
rs12997023	dbSNP	2	40525842	40525842																																																																																																																																																																																																																																																											
rs1396515	dbSNP	17	70434852	70434852																																																																																																																																																																																																																																																											
rs1396515	dbSNP	CHR_HSCHR17_2_CTG4	70440905	70440905																																																																																																																																																																																																																																																											
rs164133	dbSNP	1	162411498	162411498																																																																																																																																																																																																																																																											
rs16857031	dbSNP	1	162143120	162143120																																																																																																																																																																																																																																																											
rs16870629	dbSNP	5	1014948	1014948																																																																																																																																																																																																																																																											
rs16870629	dbSNP	CHR_HSCHR5_4_CTG1	1014948	1014948																																																																																																																																																																																																																																																											
rs16936870	dbSNP	8	70277107	70277107																																																																																																																																																																																																																																																											
rs17457880	dbSNP	1	162198364	162198364																																																																																																																																																																																																																																																											
rs174583	dbSNP	11	61842278	61842278																																																																																																																																																																																																																																																											
rs17460657	dbSNP	1	162292036	162292036																																																																																																																																																																																																																																																											
rs1775154	dbSNP	1	205727487	205727487																																																																																																																																																																																																																																																											
rs17763769	dbSNP	17	70564648	70564648																																																																																																																																																																																																																																																											
rs17784882	dbSNP	3	47502513	47502513																																																																																																																																																																																																																																																											
rs1805128	dbSNP	21	34449382	34449382																																																																																																																																																																																																																																																											
rs1961102	dbSNP	8	102920617	102920617																																																																																																																																																																																																																																																											
rs1983546	dbSNP	1	169476945	169476945																																																																																																																																																																																																																																																											
rs2072413	dbSNP	7	150950881	150950881																																																																																																																																																																																																																																																											
rs2074238	dbSNP	11	2463573	2463573																																																																																																																																																																																																																																																											
rs2273042	dbSNP	1	6089062	6089062																																																																																																																																																																																																																																																											
rs2273905	dbSNP	14	102508662	102508662																																																																																																																																																																																																																																																											
rs2298632	dbSNP	1	23383982	23383982																																																																																																																																																																																																																																																											
rs2298632	dbSNP	CHR_HSCHR1_4_CTG3	23391446	23391446																																																																																																																																																																																																																																																											
rs2301696	dbSNP	11	2405754	2405754																																																																																																																																																																																																																																																											
rs2363719	dbSNP	4	71272499	71272499																																																																																																																																																																																																																																																											
rs236586	dbSNP	17	70207405	70207405																																																																																																																																																																																																																																																											
rs246185	dbSNP	16	14301575	14301575																																																																																																																																																																																																																																																											
rs246196	dbSNP	16	58540349	58540349																																																																																																																																																																																																																																																											
rs2485376	dbSNP	10	102290249	102290249																																																																																																																																																																																																																																																											
rs295140	dbSNP	2	200295976	200295976																																																																																																																																																																																																																																																											
rs3026445	dbSNP	12	110285398	110285398																																																																																																																																																																																																																																																											
rs3105593	dbSNP	15	50552821	50552821																																																																																																																																																																																																																																																											
rs347272	dbSNP	1	162348708	162348708																																																																																																																																																																																																																																																											
rs3807375	dbSNP	7	150970122	150970122																																																																																																																																																																																																																																																											
rs3857067	dbSNP	4	94105283	94105283																																																																																																																																																																																																																																																											
rs3902035	dbSNP	6	118679069	118679069																																																																																																																																																																																																																																																											
rs3934467	dbSNP	1	162212887	162212887																																																																																																																																																																																																																																																											
rs404321	dbSNP	7	72955591	72955591																																																																																																																																																																																																																																																											
rs457162	dbSNP	6	118214820	118214820																																																																																																																																																																																																																																																											
rs4656345	dbSNP	1	162021447	162021447																																																																																																																																																																																																																																																											
rs4657172	dbSNP	1	162209842	162209842																																																																																																																																																																																																																																																											
rs4784934	dbSNP	16	58426022	58426022																																																																																																																																																																																																																																																											
rs545833	dbSNP	1	168720702	168720702																																																																																																																																																																																																																																																											
rs6544311	dbSNP	2	40126137	40126137																																																																																																																																																																																																																																																											
rs6599234	dbSNP	3	38673809	38673809																																																																																																																																																																																																																																																											
rs6669543	dbSNP	1	162011235	162011235																																																																																																																																																																																																																																																											
rs6793245	dbSNP	3	38557546	38557546																																																																																																																																																																																																																																																											
rs6801957	dbSNP	3	38725824	38725824																																																																																																																																																																																																																																																											
rs7122937	dbSNP	11	2465320	2465320																																																																																																																																																																																																																																																											
rs7195486	dbSNP	16	4205179	4205179																																																																																																																																																																																																																																																											
rs728478	dbSNP	17	59389143	59389143																																																																																																																																																																																																																																																											
rs728926	dbSNP	13	73938985	73938985																																																																																																																																																																																																																																																											
rs735951	dbSNP	16	11599680	11599680																																																																																																																																																																																																																																																											
rs7545047	dbSNP	1	162221313	162221313																																																																																																																																																																																																																																																											
rs7561149	dbSNP	2	178825129	178825129																																																																																																																																																																																																																																																											
rs7765828	dbSNP	6	16294491	16294491																																																																																																																																																																																																																																																											
rs7808970	dbSNP	7	100483115	100483115																																																																																																																																																																																																																																																											
rs846111	dbSNP	1	6219310	6219310																																																																																																																																																																																																																																																											
rs938291	dbSNP	2	173877880	173877880																																																																																																																																																																																																																																																											
rs9489510	dbSNP	6	118722735	118722735																																																																																																																																																																																																																																																											
rs9892651	dbSNP	17	66307675	66307675																																																																																																																																																																																																																																																											
rs9920	dbSNP	7	116560038	116560038																																																																																																																																																																																																																																																											
rs1042391	dbSNP	6	16290530	16290530																																																																																																																																																																																																																																																											
rs1047640	dbSNP	2	173956022	173956022																																																																																																																																																																																																																																																											
rs10497520	dbSNP	2	178780128	178780128																																																																																																																																																																																																																																																											
rs11068997	dbSNP	12	109945336	109945336																																																																																																																																																																																																																																																											
rs116202356	dbSNP	3	38062285	38062285																																																																																																																																																																																																																																																											
rs12053903	dbSNP	3	38551902	38551902																																																																																																																																																																																																																																																											
rs1361754	dbSNP	1	205832744	205832744																																																																																																																																																																																																																																																											
rs1801725	dbSNP	3	122284910	122284910																																																																																																																																																																																																																																																											
rs1805123	dbSNP	7	150948446	150948446																																																																																																																																																																																																																																																											
rs1805124	dbSNP	3	38603929	38603929																																																																																																																																																																																																																																																											
rs2074238	dbSNP	11	2463573	2463573																																																																																																																																																																																																																																																											
rs2230553	dbSNP	17	34942629	34942629																																																																																																																																																																																																																																																											
rs3734381	dbSNP	6	118566140	118566140																																																																																																																																																																																																																																																											
rs3734382	dbSNP	6	118565798	118565798																																																																																																																																																																																																																																																											
rs55910611	dbSNP	2	219635690	219635690																																																																																																																																																																																																																																																											
rs6018	dbSNP	1	169542640	169542640																																																																																																																																																																																																																																																											
rs6027	dbSNP	1	169514323	169514323																																																																																																																																																																																																																																																											
rs6033	dbSNP	1	169552615	169552615																																																																																																																																																																																																																																																											
rs6795970	dbSNP	3	38725184	38725184																																																																																																																																																																																																																																																											
rs709209	dbSNP	1	6218354	6218354																																																																																																																																																																																																																																																											
rs72648998	dbSNP	2	178710784	178710784																																																																																																																																																																																																																																																											
rs7439869	dbSNP	4	94252628	94252628																																																																																																																																																																																																																																																											
rs846111	dbSNP	1	6219310	6219310																																																																																																																																																																																																																																																											
rs9635769	dbSNP	17	34961344	34961344																																																																																																																																																																																																																																																											
rs3189030	dbSNP	10	113634170	113634170																																																																																																																																																																																																																																																											
rs75714509	dbSNP	12	110642292	110642292																																																																																																																																																																																																																																																											
