phenotype	locus_name	gene_name	gene_locusdist_kbp
QT	rs10040989	GFRA3	14344
QT	rs10040989	CDC23	24713
QT	rs10040989	KIF20A	59317
QT	rs10040989	BRD8	59406
QT	rs10040989	CDC25C	93768
QT	rs10040989	FAM53C	93899
QT	rs10040989	NME5	98608
QT	rs10040989	KDM3B	114649
QT	rs11779860	MATN2	30738
QT	rs11779860	LAPTM4B	63045
QT	rs10919070+rs12061601+rs12079745	ATP1B1	4485
QT	rs10919070+rs12061601+rs12079745	NME7	58888
QT	rs1296720	CREBBP	98587
QT	rs16870629	NKD2	6146
QT	rs16870629	SLC12A7	35436
QT	rs16870629	TRIP13	122064
QT	rs16936870	NCOA2	167325
QT	rs174583	FADS1	25275
QT	rs174583	FADS3	31241
QT	rs174583	FADS2	49298
QT	rs174583	FEN1	49367
QT	rs174583	TMEM258	51675
QT	rs174583	RAB3IL1	75288
QT	rs174583	MYRF	89642
QT	rs174583	BEST1	108073
QT	rs17784882	ELP6	6873
QT	rs17784882	SCAP	26572
QT	rs17784882	CSPG5	76352
QT	rs17784882	PTPN23	121502
QT	rs1805128	KCNE1	10222
QT	rs1805128	SMIM34	30667
QT	rs1805128	C21orf140	49270
QT	rs1805128	RCAN1	72201
QT	rs1805128	SMIM11	73902
QT	rs1805128	KCNE2	85376
QT	rs1961102	AZIN1	56454
QT	rs1961102	ATP6V1C1	100446
QT	rs2273905	ANKRD9	1114
QT	rs2273905	RCOR1	83987
QT	rs2298632	TCEA3	3073
QT	rs2298632	ZNF436	24534
QT	rs2298632	ASAP3	52695
QT	rs2298632	HNRNPR	77350
QT	rs2298632	E2F2	122456
QT	rs2363719	SLC4A4	209832
QT	rs10775360+rs1396515+rs17763769+rs236586	KCNJ2	38732
QT	rs246185	MRTFB	230254
QT	rs2485376	GBF1	44728
QT	rs2485376	PITX3	58166
QT	rs2485376	ELOVL3	63950
QT	rs2485376	NFKB2	103861
QT	rs295140	SPATS2L	9905
QT	rs3026445	ATP2A2	4642
QT	rs3026445	ANAPC7	118310
QT	rs3105593	TRPM7	22187
QT	rs3105593	USP50	55741
QT	rs164133+rs17460657+rs347272	SH2D1B	638
QT	rs164133+rs17460657+rs347272	SPATA46	24495
QT	rs164133+rs17460657+rs347272	C1orf226	30133
QT	rs164133+rs17460657+rs347272	UHMK1	85753
QT	rs404321	TRIM74	11362
QT	rs404321	SPDYE8	64128
QT	rs404321	POM121	76242
QT	rs404321	SPDYE11	92271
QT	rs404321	SPDYE9	120381
QT	rs457162	SLC35F1	307556
QT	rs246196+rs4784934	SETD6	24870
QT	rs246196+rs4784934	NDRG4	36824
QT	rs246196+rs4784934	CNOT1	89477
QT	rs545833	DPT	25234
QT	rs12997023+rs6544311	SLC8A1	73773
QT	rs2074238+rs2301696+rs7122937	TSSC4	5266
QT	rs2074238+rs2301696+rs7122937	TRPM5	17258
QT	rs2074238+rs2301696+rs7122937	KCNQ1	18889
QT	rs2074238+rs2301696+rs7122937	CD81	29577
