locus_chr	locus_start	locus_end	locus_width	locus_name	locus_ngene	locus_pheno	gene_locusdist_kbp	gene_name	gene_type	gene_tss	gene_end
07	91940840	92110673	169.833	locus_AKAP9	1		84.916	AKAP9	omim	91940840	92110673
04	112818032	113384221	566.189	locus_ANK2	1		283.094	ANK2	omim	112818032	113384221
07	81946444	82443777	497.333	locus_CACNA2D1	1		248.666	CACNA2D1	omim	81946444	82443777
10	18140737	18543557	402.82	locus_CACNB2	1		201.41	CACNB2	omim	18140737	18543557
14	90396502	90408268	11.766	locus_CALM1	1		5.883	CALM1	omim	90396502	90408268
02	47176511	47176921	0.41	locus_CALM2	1		0.205	CALM2	omim	47176511	47176921
19	46601074	46610782	9.708	locus_CALM3	1		4.854	CALM3	omim	46601074	46610782
03	8733802	8841808	108.006	locus_CAV3	1		54.003	CAV3	omim	8733802	8841808
22	38506311	38507660	1.349	locus_DDX17	1		0.674	DDX17	coloc	38506311	38507660
05	138033031	138051961	18.93	locus_FAM13B	1		9.465	FAM13B	coloc	138033031	138051961
03	32105689	32168709	63.02	locus_GPD1L	1		31.51	GPD1L	omim	32105689	32168709
01	111982796	111989668	6.872	locus_KCND3	1		3.436	KCND3	omim	111982796	111989668
11	74467549	74467729	0.18	locus_KCNE3	1		0.09	KCNE3	omim	74467549	74467729
07	151877115	151877125	0.01	locus_PRKAG2	1		0.005	PRKAG2	omim	151877115	151877125
01	237042184	237833988	791.804	locus_RYR2	1		395.902	RYR2	omim	237042184	237833988
19	35030470	35040449	9.979	locus_SCN1B	1		4.989	SCN1B	omim	35030470	35040449
11	123641124	123655244	14.12	locus_SCN3B	1		7.06	SCN3B	omim	123641124	123655244
11	118145433	118152888	7.455	locus_SCN4B	1		3.727	SCN4B	omim	118145433	118152888
20	33407957	33443763	35.806	locus_SNTA1	1		17.903	SNTA1	omim	33407957	33443763
01	109466546	109482134	15.588	locus_SYPL2	1		7.794	SYPL2	coloc	109466546	109482134
04	64275257	64409468	134.211	locus_TECRL	1		67.105	TECRL	omim	64275257	64409468
06	123636950	123637093	0.143	locus_TRDN	1		0.071	TRDN	omim	123636950	123637093
12	110491083	110502111	11.028	locus_VPS29	1		5.514	VPS29	coloc	110491083	110502111
05	138139428	138437028	297.6	rs10040989+rs1468333	8	HR+QT	3.958	CDC23	protein_coding	138213323	138213343
05	138139428	138437028	297.6	rs10040989+rs1468333	8	HR+QT	14.344	GFRA3	protein_coding	138252380	138274621
05	138139428	138437028	297.6	rs10040989+rs1468333	8	HR+QT	38.562	KIF20A	protein_coding	138178719	138187723
05	138139428	138437028	297.6	rs10040989+rs1468333	8	HR+QT	38.651	BRD8	protein_coding	138178630	138178953
05	138139428	138437028	297.6	rs10040989+rs1468333	8	HR+QT	77.853	NME5	protein_coding	138139428	138139443
05	138139428	138437028	297.6	rs10040989+rs1468333	8	HR+QT	93.768	CDC25C	protein_coding	138331804	138338355
05	138139428	138437028	297.6	rs10040989+rs1468333	8	HR+QT	93.899	FAM53C	protein_coding	138331935	138349729
05	138139428	138437028	297.6	rs10040989+rs1468333	8	QT	114.649	KDM3B	protein_coding	138352685	138437028
06	16238587	16295549	56.962	rs1042391+rs7765828	1	QT	51.943	GMPR	protein_coding	16238587	16295549
06	118238495	118935162	696.667	rs10457327+rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs3951016+rs9489510	4	HR+JT+QRS+QT	17.502	PLN	protein_coding	118548296	118561716
06	118238495	118935162	696.667	rs10457327+rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs3951016+rs9489510	4	JT+QT	22.93	SSXP10	processed_pseudogene	118589070	118589634
06	118238495	118935162	696.667	rs10457327+rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs3951016+rs9489510	4	JT+QT	27.478	CEP85L	protein_coding	118651591	118710075
06	118238495	118935162	696.667	rs10457327+rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs3951016+rs9489510	4	QT	90.707	MCM9	protein_coding	118813442	118935162
02	173877880	173965373	87.493	rs1047640+rs938291	1	QT	37.237	SP3	protein_coding	173918785	173965373
06	90395016	90587072	192.056	rs10484885	1	JT	191.867	MAP3K7	protein_coding	90586883	90587072
11	30480628	30586872	106.244	rs10488821	1	QRS	105.653	MPPED2	protein_coding	30586281	30586872
02	178710784	179050137	339.353	rs10497520+rs151041685+rs34819099+rs72648998+rs7561149+rs922984	2	HR+JT+PR+QT	4.628	CCDC141	protein_coding	178829757	179050137
02	178710784	179050137	339.353	rs10497520+rs151041685+rs34819099+rs72648998+rs7561149+rs922984	2	HR+JT+PR+QT	17.706	TTN	protein_coding	178807423	178830802
02	178975161	179264832	289.671	rs10497529	1	HR	126.517	SESTD1	protein_coding	179101678	179264832
12	27696447	27803040	106.593	rs1050288	4	HR	22.315	KLHL42	protein_coding	27780048	27803040
12	27696447	27803040	106.593	rs1050288	4	HR	39.936	MANSC4	protein_coding	27762427	27780236
12	27696447	27803040	106.593	rs1050288	4	HR	91.541	MRPS35	protein_coding	27710822	27756295
12	27696447	27803040	106.593	rs1050288	4	HR	105.916	REP15	protein_coding	27696447	27697596
13	46797161	46897076	99.915	rs10507540	2	JT	44.391	ESD	protein_coding	46797161	46797420
13	46797161	46897076	99.915	rs10507540	2	JT	55.501	HTR2A	protein_coding	46897053	46897076
17	34942629	35130732	188.103	rs1052536+rs2230553+rs9635769	6	JT+QT	0.058	CCT6B	protein_coding	34961402	34981078
17	34942629	35130732	188.103	rs1052536+rs2230553+rs9635769	6	JT+QT	0.196	ZNF830	protein_coding	34961540	34963777
17	34942629	35130732	188.103	rs1052536+rs2230553+rs9635769	6	JT+QT	19.168	LIG3	protein_coding	34980512	35009743
17	34942629	35130732	188.103	rs1052536+rs2230553+rs9635769	6	JT+QT	59.151	RFFL	protein_coding	35063707	35089319
17	34942629	35130732	188.103	rs1052536+rs2230553+rs9635769	6	QT	115.304	RAD51D	protein_coding	35119860	35121522
17	34942629	35130732	188.103	rs1052536+rs2230553+rs9635769	6	QT	117.059	FNDC8	protein_coding	35121615	35130732
09	125516460	125707234	190.774	rs10739663	1	HR	190.771	MAPKAP1	protein_coding	125707231	125707234
11	25800278	26663289	863.011	rs10767455	1	JT	388.564	ANO3	protein_coding	26188842	26663289
17	70168673	70564648	395.975	rs10775360+rs1396515+rs17763769+rs236586	1	QT	38.732	KCNJ2	protein_coding	70168673	70180044
12	82182441	82358805	176.364	rs10778876	1	QRS	175.955	CCDC59	protein_coding	82358396	82358805
01	66525663	66751139	225.476	rs10789207	1	HR	7.604	SGIP1	protein_coding	66533267	66751139
09	96364537	96491336	126.799	rs10820614	3	HR	16.389	HABP4	protein_coding	96450201	96491336
09	96364537	96491336	126.799	rs10820614	3	HR	47.871	ZNF367	protein_coding	96385941	96418370
09	96364537	96491336	126.799	rs10820614	3	HR	69.275	SLC35D2	protein_coding	96364537	96383711
12	20319268	20688583	369.315	rs10841486	1	HR	49.269	PDE3A	protein_coding	20368537	20688583
12	114670255	114943935	273.68	rs10850409+rs1896312+rs7132327	1	PR+QRS	238.364	TBX3	protein_coding	114670255	114684175
18	44680173	45068510	388.337	rs10853525+rs991014	1	QRS	176.514	SETBP1	protein_coding	44680173	45068510
03	38453890	38816286	362.396	rs10865879+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	4	HR+JT+PR+QRS+QT	16.941	SCN5A	protein_coding	38633349	38649687
03	38453890	38816286	362.396	rs10865879+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	4	HR+JT+PR+QRS+QT	18.358	SCN10A	protein_coding	38696802	38816286
03	38453890	38816286	362.396	rs10865879+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	4	HR+JT+PR+QRS+QT	22.131	EXOG	protein_coding	38496127	38542161
03	38453890	38816286	362.396	rs10865879+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	4	QRS+QT	64.368	ACVR2B	protein_coding	38453890	38493142
12	37536300	38329721	793.421	rs10880689	1	HR	780.474	ALG10B	protein_coding	38316774	38329721
01	169101212	169367948	266.736	rs10919070+rs12061601+rs12079745	2	QT	4.485	ATP1B1	protein_coding	169105697	169310992
