	locus_name	gene_name	gene_special	special_score	gene_locusdist_kbp	distance_score	ppi_score	edges_in_otheractive	ppi_deg_active_cnt	ppi_deg_active_names	ppi_deg	TF_score	TF_indeg	TF_in_active_cnt	TF_in_active_names	TF_outdeg	TF_out_active_cnt	TF_out_active_names	total_score	gene_type	snp_type	gene_pattern	exp_score	gene_mindist	gene_nonzero
0	rs7194801	CDH11	coloc	1.7308710995530423	130.931	-0.1892846332487866	29.498139551043806	269	2	CDH2;FGFR1	2	1.9205790454689249	0	0	.	0	0	.	32.960305062816985	protein_coding		s1111	1.0	mindist	nonzero
1	rs3777755	EDN1	.	0.0	130.895	-0.1893689005511779	29.498139551043806	269	0		2	1.9205790454689249	0	0	.	0	0	.	31.229349695961552	protein_coding		s1__1	1.0	mindist	nonzero
2	locus_TECRL	TECRL	omim	1.879575675234972	67.105	-0.4724920662146792	29.498139551043806	269	0		0	1.9205790454689249	0	0	.	0	0	.	32.82580220553302	omim		s11_1	1.0	mindist	nonzero
3	rs140367586	AP4M1	.	0.0	66.617	-0.4762122875177432	29.025904042306166	268	0		1	1.9205790454689249	0	0	.	0	0	.	30.470270800257342	protein_coding		.	0.08466516359792234	.	.
4	rs140367586	CNPY4	.	0.0	48.532	-0.637417726556084	29.498139551043806	269	1	LRIG1	1	1.9205790454689249	0	0	.	0	0	.	30.781300869956645	protein_coding		.	0.11555357729748958	.	.
5	rs140367586	COPS6	.	0.0	79.197	-0.3901443282377905	27.88109352192157	270	2	CDKN2C;EDN1	11	1.9205790454689249	0	0	.	0	0	.	29.4115282391527	protein_coding		.	0.029369645186028893	.	.
6	rs140367586	GAL3ST4	.	0.0	0.882	-1.0527059020837362	29.237485488817924	268	0		0	1.9205790454689249	0	0	.	0	0	.	30.10535863220312	protein_coding		.	0.05877943550118679	mindist	.
7	rs140367586	GPC2	.	0.0	1.44	-1.0523147909592072	29.237485488817924	268	0		0	1.9205790454689249	0	0	.	0	0	.	30.10574974332764	protein_coding		.	0.058802429288574105	.	.
8	rs140367586	LAMTOR4	.	0.0	19.248	-0.9525528745147016	29.237485488817924	268	0		0	1.9205790454689249	0	0	.	0	0	.	30.20551165977215	protein_coding		.	0.06497126433076073	.	.
9	rs140367586	MBLAC1	.	0.0	41.381	-0.7128614366258255	28.815509676594388	268	0		2	1.9205790454689249	0	0	.	0	0	.	30.02322728543749	protein_coding		.	0.054144733472554246	.	.
10	rs140367586	MCM7	.	0.0	66.796	-0.4748439474596417	27.77872471892332	272	4	L1TD1;SIPA1L1;SNTA1:omim;VPS29:coloc	14	1.9205790454689249	0	0	.	0	0	.	29.2244598169326	protein_coding		.	0.02435880149911545	.	.
11	rs140367586	PVRIG	.	0.0	50.075	-0.6219169683654404	28.815509676594388	268	0		2	1.9205790454689249	0	0	.	0	0	.	30.114171753697875	protein_coding		.	0.05929975526046568	.	.
12	rs140367586	STAG3	.	0.0	9.397	-1.0269778955553697	28.815509676594388	268	0		2	1.9205790454689249	0	0	.	0	0	.	29.709110826507946	protein_coding		.	0.03954915195621354	.	.
13	rs140367586	TAF6	.	0.0	53.551	-0.5881428390424115	29.498139551043806	269	1	TBX5	1	1.9205790454689249	0	0	.	0	0	.	30.83057575747032	protein_coding		s0_11	0.12139008251071269	.	nonzero
14	rs140367586	TRAPPC14	.	0.0	11.726	-1.0131072093552815	29.237485488817924	268	0		0	1.9205790454689249	0	0	.	0	0	.	30.144957324931568	protein_coding		.	0.06115372341170738	.	.
15	rs140367586	ZNF3	.	0.0	86.439	-0.3490592972055447	29.237485488817924	268	0		0	1.9205790454689249	0	0	.	0	0	.	30.8090052370813	protein_coding		.	0.11879967393101576	.	.
16	rs140367586	ZSCAN21	.	0.0	118.392	-0.2220783403020823	29.025904042306166	268	0		1	1.9205790454689249	0	0	.	0	0	.	30.72440474747301	protein_coding		.	0.10916256275625286	.	.
17	rs17446418	CAMK2D	coloc	1.7308710995530423	264.334	-0.0543285568170855	29.498139551043806	269	4	CALM1:omim;CALM2:omim;CALM3:omim;RYR2:omim	9	1.9205790454689249	0	0	.	0	0	.	33.09526113924869	protein_coding		s1111	1.0	mindist	nonzero
18	rs12039739+rs4074536	CASQ2	omim	1.879575675234972	68.325	-0.4633321151145352	29.498139551043806	269	3	GJA1;PAM;TRDN:omim	6	1.9205790454689249	0	0	.	0	0	.	32.83496215663317	protein_coding		s1111	0.8986890777044375	.	nonzero
19	rs12039739+rs4074536	NHLH2	.	0.0	50.636	-0.6163572031723529	29.34799741990639	266	0		0	1.9205790454689249	0	0	.	0	0	.	30.65221926220296	protein_coding		.	0.10131092229556247	mindist	.
20	rs11465506+rs422068	BCL2L2	.	0.0	74.662	-0.4188887538009714	27.98570386999785	268	0		4	1.9205790454689249	0	0	.	0	0	.	29.487394161665804	protein_coding		.	0.035611823325268244	.	.
21	rs11465506+rs422068	BCL2L2-PABPN1	.	0.0	66.619	-0.4761969747604628	29.237485488817924	268	0		0	1.9205790454689249	0	0	.	0	0	.	30.68186755952639	protein_coding		.	0.11758377949165146	.	.
22	rs11465506+rs422068	CMTM5	.	0.0	3.321	-1.0496201530108766	29.010591747185288	272	4	FARS2;NDRG4:coloc;TMF1;ZNF391	9	1.9205790454689249	0	0	.	0	0	.	29.881550639643336	protein_coding		.	0.05281705640792602	.	.
23	rs11465506+rs422068	EFS	.	0.0	7.819	-1.0348160353025335	29.025904042306166	268	0		1	1.9205790454689249	0	0	.	0	0	.	29.91166705247256	protein_coding		.	0.054431911449623005	.	.
24	rs11465506+rs422068	HOMEZ	.	0.0	87.32	-0.3444365361838131	29.498139551043806	269	1	FARS2	1	1.9205790454689249	0	0	.	0	0	.	31.07428206032892	protein_coding		s1_11	0.1740888145191226	.	nonzero
