locus_name	nppi
rs11779860	2
rs10919070+rs12061601+rs12079745	2
rs1296720	1
rs16936870	1
rs17784882	3
rs1805128	2
rs1961102	1
rs2273905	1
rs2298632	3
rs2363719	1
rs10775360+rs1396515+rs17763769+rs236586	1
rs246185	1
rs2485376	3
rs295140	1
rs3026445	2
rs3105593	1
rs164133+rs17460657+rs347272	2
rs404321	2
rs457162	1
rs246196+rs4784934	3
rs545833	0
rs12997023+rs6544311	1
rs2074238+rs2301696+rs7122937	3
rs7195486	3
rs728478	0
rs7808970	7
rs1042391+rs7765828	0
rs1047640+rs938291	1
rs11068997	4
rs116202356	5
rs1361754+rs1775154	5
rs3857067+rs7439869	2
rs3189030	3
rs75714509	3
rs10497529	1
rs1050288	3
rs10739663	1
rs10789207	1
rs10820614	1
rs10841486	1
rs10880689	1
rs11081761	1
rs11083258	1
rs112421686	1
rs11454451	2
rs11563648	1
rs1171563	4
rs117159291	0
rs11920570+rs1801725	4
rs12364753	17
rs12501032	1
rs12576326	1
rs12579753	1
rs1260326	7
rs12713404	1
rs12721051	10
rs12889267	5
rs12941356	1
rs13002735	1
rs13165531	1
rs140367586	9
rs10040989+rs1468333	6
rs1549118	1
rs1592560	2
rs16974196	8
rs17180489	1
rs17201923	1
rs17265513	2
rs17494056	1
rs17881696	6
rs180239	2
rs182770070	4
rs1994135	0
rs2076028	7
rs2152735	1
rs2283274	2
rs2283847	1
rs272564	0
rs3749237	7
rs1320761+rs3792943	1
rs3915499	1
rs2745959+rs41317993	3
rs41748	1
rs4608502	3
rs4900069	0
rs56233017	7
rs6123471	1
rs62172372	1
rs6845865	1
rs7173389	1
rs7194801	1
rs73158705	1
rs748802	4
rs75190942	2
rs7612445	3
rs79121763	2
rs867400	1
rs55910611+rs907683	7
rs9326726	1
rs10488821	1
rs10778876	1
rs11079159	1
rs11700980	0
rs12036340+rs12143842+rs16857031+rs17457880+rs3934467+rs4656345+rs4657172+rs6669543+rs7545047	1
rs1264353	6
rs12764182	0
rs13165478+rs13185595	2
rs13195040	1
rs13314892	1
rs1344852	0
rs1362212+rs1419856+rs58437978	1
rs1562782	3
rs1733724	0
rs17391905	1
rs174536+rs174577+rs174583	4
rs17608766	1
rs1991601+rs564190295	2
rs2025096	3
rs2242285	1
rs2419577	1
rs242562	1
rs2997447	5
rs359466	1
rs17020136+rs3770770	1
rs3777755	1
rs3929778	1
rs12039739+rs4074536	1
rs4642101	2
rs2358740+rs4687718	5
rs4708832	1
rs6683273	1
rs6968945	1
rs12444261+rs12930096+rs7198919+rs735951	2
rs7211246	1
rs7283707	1
rs1886512+rs728926	1
rs7537765	6
rs7562790	1
rs2744375+rs7771320	3
rs7784776	1
rs7909027	0
rs7342028+rs7918405	1
rs61735998+rs879568	0
rs9296504	0
rs2207790+rs9436640	0
rs1321311+rs236349+rs9470361	5
rs10853525+rs991014	0
rs9892651+rs9912468	2
rs11067773	1
rs11264339	14
rs11465506+rs422068	10
rs11763856	0
rs12127701	4
rs12257568	2
rs12359272	3
rs12678719	0
rs13018106	0
rs13087058	0
rs1372797	1
rs16858828	3
rs17287293+rs4963772	1
rs17446418	1
rs11848785+rs12880291+rs17767398	1
rs10850409+rs1896312+rs7132327	1
rs1984481	0
rs138186803+rs2129561	1
rs255292+rs4868243	3
rs2585897	2
rs2732860	0
rs343849	1
rs3733409	1
rs3807989+rs9920	2
rs3856447	2
rs397637	3
rs4430933+rs62144050	1
rs4648819	3
rs4901308	2
rs6441111	1
rs3825214+rs6489953+rs883079	1
rs652673	0
rs718426	2
rs7538988	1
rs7729395	1
rs881301	2
rs1483890+rs900669	0
rs904974	1
rs1408224+rs9590974	1
rs9826413	0
rs10484885	1
rs10507540	2
rs10767455	1
rs1106399	4
rs12132562	0
rs12430683	1
rs12468579	1
rs1397988	1
rs1439840	0
rs1478173	0
rs1606812	1
rs16895033	1
rs17081313	1
rs17107548	1
rs17156495	0
rs17211409	1
rs17281245	1
rs17639063	1
rs1777084	0
rs1890262	1
rs1997103	1
rs200214	1
rs2134953	0
rs2182486	2
rs3736352	0
rs4362469	1
rs4591595	0
rs4855537	3
rs6035275	0
rs4911179+rs6088791	3
rs624896	1
rs6718130	0
rs7595140	1
rs7713675	1
rs1388107+rs7726558	1
rs7861565	0
rs830233	1
rs985292	1
rs9853921	0
rs9966832	2
rs1805123+rs2072413+rs3807375	6
rs2070492	0
rs2926743+rs2958149	6
rs10457327+rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs3951016+rs9489510	2
rs1983546+rs6018+rs6027+rs6033	5
rs6762208+rs7638853	4
rs10865879+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	4
rs10497520+rs151041685+rs34819099+rs72648998+rs7561149+rs922984	2
rs16870629+rs737154	3
rs145358377+rs200882245+rs2273042+rs709209+rs846111	5
rs1052536+rs2230553+rs9635769	6
locus_CACNA2D1	1
locus_GPD1L	1
locus_SCN4B	1
locus_CALM1	1
locus_CAV3	1
locus_KCNE3	0
locus_FAM13B	0
locus_ANK2	1
locus_SNTA1	1
locus_PRKAG2	1
locus_CALM2	1
locus_KCND3	1
locus_SCN3B	1
locus_CALM3	1
locus_TECRL	0
locus_DDX17	1
locus_CACNB2	1
locus_VPS29	1
locus_AKAP9	1
locus_SCN1B	1
locus_TRDN	1
locus_SYPL2	1
locus_RYR2	1
