DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2017-03-31	27659466	van der Harst P	2016-09-27	J Am Coll Cardiol	www.ncbi.nlm.nih.gov/pubmed/27659466	52 Genetic Loci Influencing Myocardial Mass.	QRS duration	59,565 European ancestry individuals, 690 Orcadian (founder/genetic isolate) individuals	13,263 European ancestry individuals, 3,603 African American individuals, 4,619 Indian ancestry individuals	7p12.3	7	46601302	TNS3	AC004869.1 - HMGN1P19	ENSG00000230680	ENSG00000224519		119724	33312	rs6968945-?	rs6968945	0	6968945	intergenic_variant	1	NR	5E-9	8.301029995663981	(EA)	0.34	[0.22-0.46] unit increase	Affymetrix, Illumina, Perlegen [at least 2766983] (imputed)	N	QRS complex, QRS duration	http://www.ebi.ac.uk/efo/EFO_0005054, http://www.ebi.ac.uk/efo/EFO_0005055	GCST003844	Genome-wide genotyping array
2017-03-31	27659466	van der Harst P	2016-09-27	J Am Coll Cardiol	www.ncbi.nlm.nih.gov/pubmed/27659466	52 Genetic Loci Influencing Myocardial Mass.	QRS duration	59,565 European ancestry individuals, 690 Orcadian (founder/genetic isolate) individuals	13,263 European ancestry individuals, 3,603 African American individuals, 4,619 Indian ancestry individuals	18q12.2	18	36731696	FHOD3	FHOD3			ENSG00000134775			rs879568-?	rs879568	0	879568	intron_variant	0	NR	8E-9	8.096910013008056	(EA)	0.33	[0.21-0.45] unit decrease	Affymetrix, Illumina, Perlegen [at least 2766983] (imputed)	N	QRS complex, QRS duration	http://www.ebi.ac.uk/efo/EFO_0005054, http://www.ebi.ac.uk/efo/EFO_0005055	GCST003844	Genome-wide genotyping array
2017-03-31	27659466	van der Harst P	2016-09-27	J Am Coll Cardiol	www.ncbi.nlm.nih.gov/pubmed/27659466	52 Genetic Loci Influencing Myocardial Mass.	QRS duration	59,565 European ancestry individuals, 690 Orcadian (founder/genetic isolate) individuals	13,263 European ancestry individuals, 3,603 African American individuals, 4,619 Indian ancestry individuals	10q25.2	10	112745706	VTI1A	VTI1A			ENSG00000151532			rs7918405-?	rs7918405	0	7918405	intron_variant	0	NR	1E-14	14.0	(EA)	0.5	[0.36-0.64] unit increase	Affymetrix, Illumina, Perlegen [at least 2766983] (imputed)	N	QRS complex, QRS duration	http://www.ebi.ac.uk/efo/EFO_0005054, http://www.ebi.ac.uk/efo/EFO_0005055	GCST003844	Genome-wide genotyping array
2017-03-31	27659466	van der Harst P	2016-09-27	J Am Coll Cardiol	www.ncbi.nlm.nih.gov/pubmed/27659466	52 Genetic Loci Influencing Myocardial Mass.	QRS duration	59,565 European ancestry individuals, 690 Orcadian (founder/genetic isolate) individuals	13,263 European ancestry individuals, 3,603 African American individuals, 4,619 Indian ancestry individuals	1p31.3	1	61408005	NR	NFIA			ENSG00000162599			rs9436640-?	rs9436640	0	9436640	intron_variant	0	NR	3E-18	17.522878745280337	(EA)			Affymetrix, Illumina, Perlegen [at least 2766983] (imputed)	N	QRS complex, QRS duration	http://www.ebi.ac.uk/efo/EFO_0005054, http://www.ebi.ac.uk/efo/EFO_0005055	GCST003844	Genome-wide genotyping array
2017-03-31	27659466	van der Harst P	2016-09-27	J Am Coll Cardiol	www.ncbi.nlm.nih.gov/pubmed/27659466	52 Genetic Loci Influencing Myocardial Mass.	QRS duration	59,565 European ancestry individuals, 690 Orcadian (founder/genetic isolate) individuals	13,263 European ancestry individuals, 3,603 African American individuals, 4,619 Indian ancestry individuals	3p22.2	3	38535871	NR	EXOG			ENSG00000157036			rs10865879-?	rs10865879	0	10865879	intron_variant	0	NR	4E-27	26.397940008672037	(EA)			Affymetrix, Illumina, Perlegen [at least 2766983] (imputed)	N	QRS complex, QRS duration	http://www.ebi.ac.uk/efo/EFO_0005054, http://www.ebi.ac.uk/efo/EFO_0005055	GCST003844	Genome-wide genotyping array
2017-03-31	27659466	van der Harst P	2016-09-27	J Am Coll Cardiol	www.ncbi.nlm.nih.gov/pubmed/27659466	52 Genetic Loci Influencing Myocardial Mass.	QRS duration	59,565 European ancestry individuals, 690 Orcadian (founder/genetic isolate) individuals	13,263 European ancestry individuals, 3,603 African American individuals, 4,619 Indian ancestry individuals	3p22.2	3	38678444	NR	SCN5A - SCN10A	ENSG00000183873	ENSG00000185313		28771	18358	rs9851724-?	rs9851724	0	9851724	intergenic_variant	1	NR	7E-25	24.154901959985743	(EA)			Affymetrix, Illumina, Perlegen [at least 2766983] (imputed)	N	QRS complex, QRS duration	http://www.ebi.ac.uk/efo/EFO_0005054, http://www.ebi.ac.uk/efo/EFO_0005055	GCST003844	Genome-wide genotyping array
2017-03-31	27659466	van der Harst P	2016-09-27	J Am Coll Cardiol	www.ncbi.nlm.nih.gov/pubmed/27659466	52 Genetic Loci Influencing Myocardial Mass.	QRS duration	59,565 European ancestry individuals, 690 Orcadian (founder/genetic isolate) individuals	13,263 European ancestry individuals, 3,603 African American individuals, 4,619 Indian ancestry individuals	3p22.2	3	38592432	NR	SCN5A			ENSG00000183873			rs11708996-?	rs11708996	0	11708996	intron_variant	0	NR	6E-23	22.221848749616356	(EA)			Affymetrix, Illumina, Perlegen [at least 2766983] (imputed)	N	QRS complex, QRS duration	http://www.ebi.ac.uk/efo/EFO_0005054, http://www.ebi.ac.uk/efo/EFO_0005055	GCST003844	Genome-wide genotyping array
2017-03-31	27659466	van der Harst P	2016-09-27	J Am Coll Cardiol	www.ncbi.nlm.nih.gov/pubmed/27659466	52 Genetic Loci Influencing Myocardial Mass.	QRS duration	59,565 European ancestry individuals, 690 Orcadian (founder/genetic isolate) individuals	13,263 European ancestry individuals, 3,603 African American individuals, 4,619 Indian ancestry individuals	17q24.2	17	66322239	PRKCA	PRKCA			ENSG00000154229			rs9912468-?	rs9912468	0	9912468	intron_variant	0	NR	2E-11	10.698970004336019	(EA)			Affymetrix, Illumina, Perlegen [at least 2766983] (imputed)	N	QRS complex, QRS duration	http://www.ebi.ac.uk/efo/EFO_0005054, http://www.ebi.ac.uk/efo/EFO_0005055	GCST003844	Genome-wide genotyping array
2017-03-31	27659466	van der Harst P	2016-09-27	J Am Coll Cardiol	www.ncbi.nlm.nih.gov/pubmed/27659466	52 Genetic Loci Influencing Myocardial Mass.	QRS duration	59,565 European ancestry individuals, 690 Orcadian (founder/genetic isolate) individuals	13,263 European ancestry individuals, 3,603 African American individuals, 4,619 Indian ancestry individuals	14q24.2	14	71590638	NR	SIPA1L1			ENSG00000197555			rs11848785-?	rs11848785	0	11848785	intron_variant	0	NR	6E-14	13.221848749616356	(EA)			Affymetrix, Illumina, Perlegen [at least 2766983] (imputed)	N	QRS complex, QRS duration	http://www.ebi.ac.uk/efo/EFO_0005054, http://www.ebi.ac.uk/efo/EFO_0005055	GCST003844	Genome-wide genotyping array
2017-03-31	27659466	van der Harst P	2016-09-27	J Am Coll Cardiol	www.ncbi.nlm.nih.gov/pubmed/27659466	52 Genetic Loci Influencing Myocardial Mass.	QRS duration	59,565 European ancestry individuals, 690 Orcadian (founder/genetic isolate) individuals	13,263 European ancestry individuals, 3,603 African American individuals, 4,619 Indian ancestry individuals	17q22	17	55296189	NR	HLF			ENSG00000108924			rs11079159-?	rs11079159	0	11079159	intron_variant	0	NR	6E-7	6.221848749616356	(EA)			Affymetrix, Illumina, Perlegen [at least 2766983] (imputed)	N	QRS complex, QRS duration	http://www.ebi.ac.uk/efo/EFO_0005054, http://www.ebi.ac.uk/efo/EFO_0005055	GCST003844	Genome-wide genotyping array
