DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2017-05-12	27958378	Floyd JS	2016-12-13	Pharmacogenomics J	www.ncbi.nlm.nih.gov/pubmed/27958378	Large-scale pharmacogenomic study of sulfonylureas and the QT, JT and QRS intervals: CHARGE Pharmacogenomics Working Group.	QT interval (sulfonylurea treatment interaction)	2,095 European ancestry exposed individuals, 42,907 European ancestry unexposed individuals, 1,167 African American exposed individuals, 10,564 African American unexposed individuals, 794 Hispanic/Latino American exposed individuals, 14,330 Hispanic/Latino American unexposed individuals	NA	2q22.3	2	146957758	PABPC1P2	AC062032.1 - AC018678.1	ENSG00000227902	ENSG00000287847		59540	192949	rs1606812-?	rs1606812	0	1606812	intergenic_variant	1	NR	3E-7	6.522878745280337	(AA)	11.5	[7.19-15.81] ms decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N	response to sulfonylurea, QT interval	http://www.ebi.ac.uk/efo/EFO_0007922, http://www.ebi.ac.uk/efo/EFO_0004682	GCST004031	Genome-wide genotyping array
2017-05-12	27958378	Floyd JS	2016-12-13	Pharmacogenomics J	www.ncbi.nlm.nih.gov/pubmed/27958378	Large-scale pharmacogenomic study of sulfonylureas and the QT, JT and QRS intervals: CHARGE Pharmacogenomics Working Group.	QRS interval (sulfonylurea treatment interaction)	2,095 European ancestry exposed individuals, 42,907 European ancestry unexposed individuals, 1,167 African American exposed individuals, 10,564 African American unexposed individuals, 794 Hispanic/Latino American exposed individuals, 14,330 Hispanic/Latino American unexposed individuals	NA	11p14.3	11	25778731	intergenic	LINC02699			ENSG00000254456			rs10767455-?	rs10767455	0	10767455	intron_variant	0	NR	4E-7	6.3979400086720375	(AA)	2.1	[1.32-2.88] ms increase	Affymetrix, Illumina [~ 2500000] (imputed)	N	QRS duration, response to sulfonylurea	http://www.ebi.ac.uk/efo/EFO_0005055, http://www.ebi.ac.uk/efo/EFO_0007922	GCST004033	Genome-wide genotyping array
2017-05-12	27958378	Floyd JS	2016-12-13	Pharmacogenomics J	www.ncbi.nlm.nih.gov/pubmed/27958378	Large-scale pharmacogenomic study of sulfonylureas and the QT, JT and QRS intervals: CHARGE Pharmacogenomics Working Group.	QT interval (sulfonylurea treatment interaction)	2,095 European ancestry exposed individuals, 42,907 European ancestry unexposed individuals, 1,167 African American exposed individuals, 10,564 African American unexposed individuals, 794 Hispanic/Latino American exposed individuals, 14,330 Hispanic/Latino American unexposed individuals	NA	5q23.1	5	119576903	HSD17B4, FAM170A	HSD17B4			ENSG00000133835			rs7726558-?	rs7726558	0	7726558	intron_variant	0	NR	4E-7	6.3979400086720375	(AA)	6.2	[3.85-8.55] ms decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N	response to sulfonylurea, QT interval	http://www.ebi.ac.uk/efo/EFO_0007922, http://www.ebi.ac.uk/efo/EFO_0004682	GCST004031	Genome-wide genotyping array
2017-05-12	27958378	Floyd JS	2016-12-13	Pharmacogenomics J	www.ncbi.nlm.nih.gov/pubmed/27958378	Large-scale pharmacogenomic study of sulfonylureas and the QT, JT and QRS intervals: CHARGE Pharmacogenomics Working Group.	QRS interval (sulfonylurea treatment interaction)	2,095 European ancestry exposed individuals, 42,907 European ancestry unexposed individuals, 1,167 African American exposed individuals, 10,564 African American unexposed individuals, 794 Hispanic/Latino American exposed individuals, 14,330 Hispanic/Latino American unexposed individuals	NA	11q24.2	11	127807979	intergenic	AP003532.1 - AP001000.1	ENSG00000254591	ENSG00000254612		150102	132934	rs985292-?	rs985292	0	985292	intergenic_variant	1	NR	1E-6	6.0	(AA)	2.4	[1.42-3.38] ms increase	Affymetrix, Illumina [~ 2500000] (imputed)	N	QRS duration, response to sulfonylurea	http://www.ebi.ac.uk/efo/EFO_0005055, http://www.ebi.ac.uk/efo/EFO_0007922	GCST004033	Genome-wide genotyping array
2017-05-12	27958378	Floyd JS	2016-12-13	Pharmacogenomics J	www.ncbi.nlm.nih.gov/pubmed/27958378	Large-scale pharmacogenomic study of sulfonylureas and the QT, JT and QRS intervals: CHARGE Pharmacogenomics Working Group.	QT interval (sulfonylurea treatment interaction)	2,095 European ancestry exposed individuals, 42,907 European ancestry unexposed individuals, 1,167 African American exposed individuals, 10,564 African American unexposed individuals, 794 Hispanic/Latino American exposed individuals, 14,330 Hispanic/Latino American unexposed individuals	NA	4p15.1	4	32375105	intergenic	LINC02353 - AC116611.1	ENSG00000251329	ENSG00000286784		21885	208750	rs17081313-?	rs17081313	0	17081313	intergenic_variant	1	NR	2E-7	6.698970004336019		11.2	[7.08-15.32] ms increase	Affymetrix, Illumina [~ 2500000] (imputed)	N	response to sulfonylurea, QT interval	http://www.ebi.ac.uk/efo/EFO_0007922, http://www.ebi.ac.uk/efo/EFO_0004682	GCST004031	Genome-wide genotyping array
2017-05-12	27958378	Floyd JS	2016-12-13	Pharmacogenomics J	www.ncbi.nlm.nih.gov/pubmed/27958378	Large-scale pharmacogenomic study of sulfonylureas and the QT, JT and QRS intervals: CHARGE Pharmacogenomics Working Group.	QRS interval (sulfonylurea treatment interaction)	2,095 European ancestry exposed individuals, 42,907 European ancestry unexposed individuals, 1,167 African American exposed individuals, 10,564 African American unexposed individuals, 794 Hispanic/Latino American exposed individuals, 14,330 Hispanic/Latino American unexposed individuals	NA	4q21.23	4	83203287	PLAC8, COQ2	PLAC8 - AC114781.2	ENSG00000145287	ENSG00000250057		66212	30225	rs4591595-?	rs4591595	0	4591595	intergenic_variant	1	NR	3E-7	6.522878745280337	(EA)	2.8	[1.62-3.98] ms decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N	QRS duration, response to sulfonylurea	http://www.ebi.ac.uk/efo/EFO_0005055, http://www.ebi.ac.uk/efo/EFO_0007922	GCST004033	Genome-wide genotyping array
2017-05-12	27958378	Floyd JS	2016-12-13	Pharmacogenomics J	www.ncbi.nlm.nih.gov/pubmed/27958378	Large-scale pharmacogenomic study of sulfonylureas and the QT, JT and QRS intervals: CHARGE Pharmacogenomics Working Group.	QRS interval (sulfonylurea treatment interaction)	2,095 European ancestry exposed individuals, 42,907 European ancestry unexposed individuals, 1,167 African American exposed individuals, 10,564 African American unexposed individuals, 794 Hispanic/Latino American exposed individuals, 14,330 Hispanic/Latino American unexposed individuals	NA	18q22.3	18	73269323	LOC400655	AC079062.1 - LINC02582	ENSG00000263711	ENSG00000261780		4843	55618	rs4362469-?	rs4362469	0	4362469	intergenic_variant	1	NR	7E-7	6.154901959985743	(EA)	4.8	[2.84-6.76] ms decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N	QRS duration, response to sulfonylurea	http://www.ebi.ac.uk/efo/EFO_0005055, http://www.ebi.ac.uk/efo/EFO_0007922	GCST004033	Genome-wide genotyping array
2017-05-12	27958378	Floyd JS	2016-12-13	Pharmacogenomics J	www.ncbi.nlm.nih.gov/pubmed/27958378	Large-scale pharmacogenomic study of sulfonylureas and the QT, JT and QRS intervals: CHARGE Pharmacogenomics Working Group.	QRS interval (sulfonylurea treatment interaction)	2,095 European ancestry exposed individuals, 42,907 European ancestry unexposed individuals, 1,167 African American exposed individuals, 10,564 African American unexposed individuals, 794 Hispanic/Latino American exposed individuals, 14,330 Hispanic/Latino American unexposed individuals	NA	20q11.22	20	35385096	UQCC	UQCC1			ENSG00000101019			rs4911179-?	rs4911179	0	4911179	intron_variant	0	NR	8E-8	7.096910013008056	(EA)	1.7	[1.11-2.29] ms decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N	QRS duration, response to sulfonylurea	http://www.ebi.ac.uk/efo/EFO_0005055, http://www.ebi.ac.uk/efo/EFO_0007922	GCST004033	Genome-wide genotyping array
2017-05-12	27958378	Floyd JS	2016-12-13	Pharmacogenomics J	www.ncbi.nlm.nih.gov/pubmed/27958378	Large-scale pharmacogenomic study of sulfonylureas and the QT, JT and QRS intervals: CHARGE Pharmacogenomics Working Group.	QRS interval (sulfonylurea treatment interaction)	2,095 European ancestry exposed individuals, 42,907 European ancestry unexposed individuals, 1,167 African American exposed individuals, 10,564 African American unexposed individuals, 794 Hispanic/Latino American exposed individuals, 14,330 Hispanic/Latino American unexposed individuals	NA	14q21.1	14	42709204	intergenic	AL442163.1 - AL356800.1	ENSG00000258394	ENSG00000258934		5549	98174	rs1777084-?	rs1777084	0	1777084	intergenic_variant	1	NR	1E-6	6.0	(Hispanic/Latino)	3.3	[1.93-4.67] ms decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N	QRS duration, response to sulfonylurea	http://www.ebi.ac.uk/efo/EFO_0005055, http://www.ebi.ac.uk/efo/EFO_0007922	GCST004033	Genome-wide genotyping array
2017-05-12	27958378	Floyd JS	2016-12-13	Pharmacogenomics J	www.ncbi.nlm.nih.gov/pubmed/27958378	Large-scale pharmacogenomic study of sulfonylureas and the QT, JT and QRS intervals: CHARGE Pharmacogenomics Working Group.	QRS interval (sulfonylurea treatment interaction)	2,095 European ancestry exposed individuals, 42,907 European ancestry unexposed individuals, 1,167 African American exposed individuals, 10,564 African American unexposed individuals, 794 Hispanic/Latino American exposed individuals, 14,330 Hispanic/Latino American unexposed individuals	NA	8p23.2	8	4328031	CSMD1	CSMD1, AC027251.1			ENSG00000183117, ENSG00000286934			rs2134953-?	rs2134953	0	2134953	non_coding_transcript_exon_variant	0	NR	8E-8	7.096910013008056		7.8	[5.06-10.54] ms decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N	QRS duration, response to sulfonylurea	http://www.ebi.ac.uk/efo/EFO_0005055, http://www.ebi.ac.uk/efo/EFO_0007922	GCST004033	Genome-wide genotyping array
