Variant name	Variant source	Chromosome/scaffold name	Chromosome/scaffold position start (bp)	Chromosome/scaffold position end (bp)
rs10457327	dbSNP	6	118370989	118370989
rs10497529	dbSNP	2	178975161	178975161
rs1050288	dbSNP	12	27802363	27802363
rs10739663	dbSNP	9	125516460	125516460
rs10789207	dbSNP	1	66525663	66525663
rs10820614	dbSNP	9	96433812	96433812
rs10841486	dbSNP	12	20319268	20319268
rs10880689	dbSNP	12	37536300	37536300
rs11081761	dbSNP	18	32423359	32423359
rs11083258	dbSNP	18	28186254	28186254
rs112421686	dbSNP	11	12237634	12237636
rs11454451	dbSNP	1	217549549	217549548
rs11563648	dbSNP	7	127329992	127329992
rs1171563	dbSNP	1	156486737	156486737
rs117159291	dbSNP	18	22549561	22549561
rs117159291	dbSNP	CHR_HSCHR18_5_CTG1_1	22549547	22549547
rs11920570	dbSNP	3	122371255	122371255
rs12364753	dbSNP	11	62675614	62675614
rs12501032	dbSNP	4	23949395	23949395
rs12576326	dbSNP	11	44958832	44958832
rs12579753	dbSNP	12	81825597	81825597
rs1260326	dbSNP	2	27508073	27508073
rs12713404	dbSNP	2	59779570	59779570
rs12721051	dbSNP	19	44918903	44918903
rs12889267	dbSNP	14	21074607	21074607
rs12941356	dbSNP	17	17813217	17813217
rs13002735	dbSNP	2	231404173	231404173
rs13165531	dbSNP	5	30888476	30888476
rs1320761	dbSNP	6	121846992	121846992
rs138186803	dbSNP	7	131280650	131280659
rs140367586	dbSNP	7	100168166	100168166
rs145358377	dbSNP	1	6212077	6212077
rs1468333	dbSNP	5	138217281	138217281
rs1483890	dbSNP	3	69361574	69361574
rs151041685	dbSNP	2	178860510	178860510
rs1549118	dbSNP	14	77913341	77913341
rs1592560	dbSNP	16	10717830	10717830
rs16974196	dbSNP	19	40327563	40327563
rs17180489	dbSNP	14	72418763	72418763
rs17201923	dbSNP	14	85330220	85330220
rs17265513	dbSNP	20	41203988	41203988
rs174536	dbSNP	11	61784455	61784455
rs17494056	dbSNP	2	159196220	159196220
rs17881696	dbSNP	7	100895738	100895738
rs180239	dbSNP	7	93921103	93921103
rs182770070	dbSNP	1	9940418	9940418
rs1994135	dbSNP	12	33529470	33529470
rs2076028	dbSNP	22	38754445	38754445
rs2152735	dbSNP	1	87427449	87427449
rs2283274	dbSNP	12	2075300	2075300
rs2283274	dbSNP	CHR_HG1815_PATCH	2075300	2075300
rs2283847	dbSNP	22	27785411	27785411
rs2358740	dbSNP	3	53421542	53421542
rs236349	dbSNP	6	36852789	36852789
rs272564	dbSNP	1	44546601	44546601
rs2744375	dbSNP	6	7554606	7554606
rs2745959	dbSNP	1	207915947	207915947
rs3749237	dbSNP	3	49732599	49732599
rs3792943	dbSNP	6	121437366	121437366
rs3915499	dbSNP	16	15816886	15816886
rs3915499	dbSNP	CHR_HSCHR16_1_CTG1	15902014	15902014
rs3951016	dbSNP	6	118238495	118238495
rs41312411	dbSNP	3	38579746	38579746
rs41317993	dbSNP	1	207788387	207788387
rs41748	dbSNP	7	116806519	116806519
rs422068	dbSNP	14	23395595	23395595
rs4608502	dbSNP	2	227269439	227269439
rs4868243	dbSNP	5	173216115	173216115
rs4900069	dbSNP	14	91117029	91117029
rs4963772	dbSNP	12	24605546	24605546
rs56233017	dbSNP	8	143907320	143907320
rs564190295	dbSNP	2	174682945	174682965
rs58437978	dbSNP	7	35218665	35218665
rs6123471	dbSNP	20	38211754	38211754
rs61735998	dbSNP	18	36709322	36709322
rs62144050	dbSNP	2	66497930	66497930
rs62172372	dbSNP	2	187377642	187377642
rs6599255	dbSNP	3	38754924	38754924
rs6845865	dbSNP	4	148053451	148053451
rs7173389	dbSNP	15	73371562	73371562
rs7194801	dbSNP	16	65252967	65252967
rs73158705	dbSNP	7	136891353	136891353
rs748802	dbSNP	9	35909521	35909521
rs75190942	dbSNP	11	128894676	128894676
rs7612445	dbSNP	3	179455191	179455191
rs79121763	dbSNP	17	15291962	15291962
rs867400	dbSNP	12	64583070	64583070
rs907683	dbSNP	2	219434819	219434819
rs9326726	dbSNP	5	108411746	108411746
