DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2015-04-16	24952745	Arking DE	2014-06-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24952745	Genetic association study of QT interval highlights role for calcium signaling pathways in myocardial repolarization.	QT interval	Up to 70,389 European ancestry individuals, up to 672 Orcadian individuals	Up to 33,316 European ancestry individuals	16p13.3	16	3823641	CREBBP	CREBBP			ENSG00000005339			rs1296720-C	rs1296720	0	1296720	intron_variant	0	0.197	4E-10	9.397940008672037		0.83	[0.58-1.08] unit increase	Affymetrix, Illumina [~ 2500000] (imputed)	N	QT interval	http://www.ebi.ac.uk/efo/EFO_0004682	GCST002500	Genome-wide genotyping array
2015-04-16	24952745	Arking DE	2014-06-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24952745	Genetic association study of QT interval highlights role for calcium signaling pathways in myocardial repolarization.	QT interval	Up to 70,389 European ancestry individuals, up to 672 Orcadian individuals	Up to 33,316 European ancestry individuals	1q23.3	1	162143120	NOS1AP	NOS1AP			ENSG00000198929			rs16857031-G	rs16857031	0	16857031	intron_variant	0	0.132	7E-61	60.15490195998574		2.37	[2.1-2.64] unit increase	Affymetrix, Illumina [~ 2500000] (imputed)	N	QT interval	http://www.ebi.ac.uk/efo/EFO_0004682	GCST002500	Genome-wide genotyping array
2015-04-16	24952745	Arking DE	2014-06-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24952745	Genetic association study of QT interval highlights role for calcium signaling pathways in myocardial repolarization.	QT interval	Up to 70,389 European ancestry individuals, up to 672 Orcadian individuals	Up to 33,316 European ancestry individuals	1q23.3	1	162198364	NOS1AP	NOS1AP			ENSG00000198929			rs17457880-A	rs17457880	0	17457880	intron_variant	0	0.055	3E-10	9.522878745280337		1.9	[1.31-2.49] unit decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N	QT interval	http://www.ebi.ac.uk/efo/EFO_0004682	GCST002500	Genome-wide genotyping array
2015-04-16	24952745	Arking DE	2014-06-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24952745	Genetic association study of QT interval highlights role for calcium signaling pathways in myocardial repolarization.	QT interval	Up to 70,389 European ancestry individuals, up to 672 Orcadian individuals	Up to 33,316 European ancestry individuals	16p13.13	16	11599680	LITAF	LITAF			ENSG00000189067			rs735951-A	rs735951	0	735951	intron_variant	0	0.455	2E-28	27.69897000433602		1.15	[0.95-1.35] unit decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N	QT interval	http://www.ebi.ac.uk/efo/EFO_0004682	GCST002500	Genome-wide genotyping array
2015-04-16	24952745	Arking DE	2014-06-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24952745	Genetic association study of QT interval highlights role for calcium signaling pathways in myocardial repolarization.	QT interval	Up to 70,389 European ancestry individuals, up to 672 Orcadian individuals	Up to 33,316 European ancestry individuals	1q23.3	1	162221313	NOS1AP	NOS1AP			ENSG00000198929			rs7545047-A	rs7545047	0	7545047	intron_variant	0	0.049	9E-14	13.045757490560675		1.78	[1.31-2.25] unit decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N	QT interval	http://www.ebi.ac.uk/efo/EFO_0004682	GCST002500	Genome-wide genotyping array
2015-04-16	24952745	Arking DE	2014-06-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24952745	Genetic association study of QT interval highlights role for calcium signaling pathways in myocardial repolarization.	QT interval	Up to 70,389 European ancestry individuals, up to 672 Orcadian individuals	Up to 33,316 European ancestry individuals	1q23.3	1	162292036	NOS1AP	NOS1AP			ENSG00000198929			rs17460657-C	rs17460657	0	17460657	intron_variant	0	0.045	3E-16	15.522878745280337		4.6	[3.5-5.7] unit decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N	QT interval	http://www.ebi.ac.uk/efo/EFO_0004682	GCST002500	Genome-wide genotyping array
2015-04-16	24952745	Arking DE	2014-06-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24952745	Genetic association study of QT interval highlights role for calcium signaling pathways in myocardial repolarization.	QT interval	Up to 70,389 European ancestry individuals, up to 672 Orcadian individuals	Up to 33,316 European ancestry individuals	1q23.3	1	162348708	NOS1AP	NOS1AP			ENSG00000198929			rs347272-A	rs347272	0	347272	intron_variant	0	0.132	1E-37	37.0		1.8	[1.53-2.07] unit increase	Affymetrix, Illumina [~ 2500000] (imputed)	N	QT interval	http://www.ebi.ac.uk/efo/EFO_0004682	GCST002500	Genome-wide genotyping array
2015-04-16	24952745	Arking DE	2014-06-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24952745	Genetic association study of QT interval highlights role for calcium signaling pathways in myocardial repolarization.	QT interval	Up to 70,389 European ancestry individuals, up to 672 Orcadian individuals	Up to 33,316 European ancestry individuals	1q23.3	1	162411498	NOS1AP	SH2D1B			ENSG00000198574			rs164133-C	rs164133	0	164133	intron_variant	0	0.264	3E-11	10.522878745280337		0.72	[0.5-0.94] unit increase	Affymetrix, Illumina [~ 2500000] (imputed)	N	QT interval	http://www.ebi.ac.uk/efo/EFO_0004682	GCST002500	Genome-wide genotyping array
2015-04-16	24952745	Arking DE	2014-06-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24952745	Genetic association study of QT interval highlights role for calcium signaling pathways in myocardial repolarization.	QT interval	Up to 70,389 European ancestry individuals, up to 672 Orcadian individuals	Up to 33,316 European ancestry individuals	1q24.2	1	168720702	ATP1B1	AL135926.1, DPT			ENSG00000285622, ENSG00000143196			rs545833-T	rs545833	0	545833	intron_variant	0	0.266	4E-17	16.397940008672037		0.9	[0.68-1.12] unit increase	Affymetrix, Illumina [~ 2500000] (imputed)	N	QT interval	http://www.ebi.ac.uk/efo/EFO_0004682	GCST002500	Genome-wide genotyping array
2015-04-16	24952745	Arking DE	2014-06-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24952745	Genetic association study of QT interval highlights role for calcium signaling pathways in myocardial repolarization.	QT interval	Up to 70,389 European ancestry individuals, up to 672 Orcadian individuals	Up to 33,316 European ancestry individuals	16q21	16	58540349	CNOT1	CNOT1			ENSG00000125107			rs246196-C	rs246196	0	246196	intron_variant	0	0.259	2E-57	56.69897000433602		1.73	[1.51-1.95] unit decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N	QT interval	http://www.ebi.ac.uk/efo/EFO_0004682	GCST002500	Genome-wide genotyping array
